index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,68.5,水平,8,陕西卫视,AVS+,DRA,开锁,5532,5533,秦岭发射台,16QAM PN420 4/5(0.8),张骞故里 2023-02-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,68.5,水平,81,陕西新闻资讯,AVS+,DRA,开锁,810,811,秦岭发射台,16QAM PN420 4/5(0.8),张骞故里 2023-02-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,68.5,水平,82,陕西都市青春,AVS+,DRA,开锁,820,821,秦岭发射台,16QAM PN420 4/5(0.8),张骞故里 2023-02-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,68.5,水平,83,陕西生活,AVS+,DRA,开锁,830,831,秦岭发射台,16QAM PN420 4/5(0.8),张骞故里 2023-02-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,68.5,水平,401,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,秦岭发射台,16QAM PN420 4/5(0.8),张骞故里 2023-02-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,68.5,水平,402,中央电视台纪录频道,AVS+,DRA,开锁,513,660,秦岭发射台,16QAM PN420 4/5(0.8),张骞故里 2023-02-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,68.5,水平,403,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,秦岭发射台,16QAM PN420 4/5(0.8),张骞故里 2023-02-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,68.5,水平,404,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,秦岭发射台,16QAM PN420 4/5(0.8),张骞故里 2023-02-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,179,水平, ,周至一套,AVS+,DRA,开锁,441,442,周至, ,DFL 2023-12-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,179,水平,201,陕西新闻资讯,AVS+,DRA,开锁,211,212,周至, ,DFL 2023-12-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,179,水平,202,陕西都市青春,AVS+,DRA,开锁,221,222,周至, ,DFL 2023-12-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,179,水平,205,陕西公共,AVS+,DRA,开锁,251,252,周至, ,DFL 2023-12-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,179,水平,101,陕西农村广播, ,MPEG-1,开锁, ,74,周至, ,DFL 2023-12-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,179,水平,102,陕西都市广播, ,MPEG-1,开锁, ,78,周至, ,DFL 2023-12-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,179,水平,103,陕西故事广播, ,MPEG-1,开锁, ,94,周至, ,DFL 2023-12-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,179,水平,104,陕西戏曲广播, ,MPEG-1,开锁, ,76,周至, ,DFL 2023-12-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,179,水平,105,陕西经济广播, ,MPEG-1,开锁, ,68,周至, ,DFL 2023-12-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,179,水平,106,陕西音乐广播, ,MPEG-1,开锁, ,44,周至, ,DFL 2023-12-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,179,水平,107,陕西新闻广播, ,MPEG-1,开锁, ,66,周至, ,DFL 2023-12-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,179,水平,108,陕西青少广播, ,MPEG-1,开锁, ,80,周至, ,DFL 2023-12-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,179,水平,109,陕西秦腔广播, ,MPEG-1,开锁, ,96,周至, ,DFL 2023-12-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,179,水平,111,陕西交通广播, ,MPEG-1,开锁, ,42,周至, ,DFL 2023-12-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,490,水平,101,[中央电视台综合频道](http://www.cctv.com),MPEG-4,MPEG-1,Xcrypl,275,273,周至,64QAM PN420 3/5(0.6),会飞的鱼 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,490,水平,102,[中央电视台财经频道](http://www.cctv.com),MPEG-4,MPEG-1,Xcrypl,291,289,周至,64QAM PN420 3/5(0.6),会飞的鱼 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,490,水平,103,中央电视台综艺频道,MPEG-4,MPEG-1,Xcrypl,307,305,周至,64QAM PN420 3/5(0.6),会飞的鱼 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,490,水平,104,[中央电视台中文国际频道](http://www.cctv.com),MPEG-4,MPEG-1,Xcrypl,323,321,周至,64QAM PN420 3/5(0.6),会飞的鱼 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,490,水平,105,中央电视台体育频道,MPEG-4,MPEG-1,Xcrypl,339,337,周至,64QAM PN420 3/5(0.6),会飞的鱼 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,490,水平,106,中央电视台电影频道,MPEG-4,MPEG-1,Xcrypl,355,353,周至,64QAM PN420 3/5(0.6),会飞的鱼 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,490,水平,107,[中央电视台国防军事频道](http://www.cctv.com),MPEG-4,MPEG-1,Xcrypl,371,369,周至,64QAM PN420 3/5(0.6),会飞的鱼 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,490,水平,108,[中央电视台电视剧频道](http://www.cctv.com),MPEG-4,MPEG-1,Xcrypl,387,385,周至,64QAM PN420 3/5(0.6),会飞的鱼 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,490,水平,109,中央电视台农业农村频道,MPEG-4,MPEG-1,Xcrypl,403,401,周至,64QAM PN420 3/5(0.6),会飞的鱼 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,490,水平,110,[中央电视台科教频道](http://www.cctv.com),MPEG-4,MPEG-1,Xcrypl,419,417,周至,64QAM PN420 3/5(0.6),会飞的鱼 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,490,水平,111,[中央电视台戏曲频道](http://www.cctv.com),MPEG-4,MPEG-1,Xcrypl,435,433,周至,64QAM PN420 3/5(0.6),会飞的鱼 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,490,水平,112,[中央电视台社会与法频道](http://www.cctv.com),MPEG-4,MPEG-1,Xcrypl,451,449,周至,64QAM PN420 3/5(0.6),会飞的鱼 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,490,水平,113,中央电视台新闻频道,MPEG-4,MPEG-1,Xcrypl,467,465,周至,64QAM PN420 3/5(0.6),会飞的鱼 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,506,垂直,201,陕西新闻资讯,AVS+,DRA,开锁,211,212,陕西广播电视塔,16QAM PN945 4/5(0.8),DFL 张骞故里2023-12-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,506,垂直,202,陕西都市青春,AVS+,DRA,开锁,221,222,陕西广播电视塔,16QAM PN945 4/5(0.8),DFL 张骞故里2023-12-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,506,垂直,205,陕西公共,AVS+,DRA,开锁,251,252,陕西广播电视塔,16QAM PN945 4/5(0.8),DFL 张骞故里2023-12-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,506,垂直,101,陕西农村广播, ,MPEG-1,开锁, ,74,陕西广播电视塔,16QAM PN945 4/5(0.8),DFL 张骞故里2023-12-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,506,垂直,102,陕西都市广播, ,MPEG-1,开锁, ,78,陕西广播电视塔,16QAM PN945 4/5(0.8),DFL 张骞故里2023-12-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,506,垂直,103,陕西故事广播, ,MPEG-1,开锁, ,94,陕西广播电视塔,16QAM PN945 4/5(0.8),DFL 张骞故里2023-12-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,506,垂直,104,陕西戏曲广播, ,MPEG-1,开锁, ,76,陕西广播电视塔,16QAM PN945 4/5(0.8),DFL 张骞故里2023-12-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,506,垂直,105,陕西经济广播, ,MPEG-1,开锁, ,68,陕西广播电视塔,16QAM PN945 4/5(0.8),DFL 张骞故里2023-12-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,506,垂直,106,陕西音乐广播, ,MPEG-1,开锁, ,44,陕西广播电视塔,16QAM PN945 4/5(0.8),DFL 张骞故里2023-12-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,506,垂直,107,陕西新闻广播, ,MPEG-1,开锁, ,66,陕西广播电视塔,16QAM PN945 4/5(0.8),DFL 张骞故里2023-12-09,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
