index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482,水平,76,香港国际财经台,MEPG-4,AC3,开锁,760,761 762 763,慈云山 青山 飞鹅山 金山 九龙坑山 西湾山 南朗山 砵甸乍山 赤柱 笔架山 琵琶山 元朗297山 大嶼山275山 照镜环山,64QAM PN945 3/5(0.6),娄工 2023-08-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482,水平,77,HOY TV,MEPG-4,AC3,开锁,770,771 772 773,慈云山 青山 飞鹅山 金山 九龙坑山 西湾山 南朗山 砵甸乍山 赤柱 笔架山 琵琶山 元朗297山 大嶼山275山 照镜环山,64QAM PN945 3/5(0.6),娄工 2023-08-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,482,水平,78,HOY资讯台,MEPG-4,AC3,开锁,780,781 782 783,慈云山 青山 飞鹅山 金山 九龙坑山 西湾山 南朗山 砵甸乍山 赤柱 笔架山 琵琶山 元朗297山 大嶼山275山 照镜环山,64QAM PN945 3/5(0.6),娄工 2023-08-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482,垂直,76,香港国际财经台,MEPG-4,AC3,开锁,760,761 762 763,飞鹅山 南丫岛 聂高信山 元朗374山 东涌 大浦仔 红花岭 长洲 大欖涌141山 大澳 上洋山 营盘 香港仔 九华径 深井 薄扶林 石壁,64QAM PN945 3/5(0.6),娄工 2023-08-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482,垂直,77,HOY TV,MEPG-4,AC3,开锁,770,771 772 773,飞鹅山 南丫岛 聂高信山 元朗374山 东涌 大浦仔 红花岭 长洲 大欖涌141山 大澳 上洋山 营盘 香港仔 九华径 深井 薄扶林 石壁,64QAM PN945 3/5(0.6),娄工 2023-08-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,482,垂直,78,HOY资讯台,MEPG-4,AC3,开锁,780,781 782 783,飞鹅山 南丫岛 聂高信山 元朗374山 东涌 大浦仔 红花岭 长洲 大欖涌141山 大澳 上洋山 营盘 香港仔 九华径 深井 薄扶林 石壁,64QAM PN945 3/5(0.6),娄工 2023-08-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,522,水平,31,港台电视31,MEPG-4,AC3,开锁,311,312 313 314 315,慈云山 青山 飞鹅山 金山 九龙坑山 西湾山 南朗山 砵甸乍山 赤柱 笔架山 琵琶山 元朗297山 大嶼山275山 照镜环山,64QAM PN945 3/5(0.6),娄工 2023-08-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,522,水平,32,港台电视32,MEPG-4,AC3,开锁,321,322 323 324 325,慈云山 青山 飞鹅山 金山 九龙坑山 西湾山 南朗山 砵甸乍山 赤柱 笔架山 琵琶山 元朗297山 大嶼山275山 照镜环山,64QAM PN945 3/5(0.6),娄工 2023-08-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,522,水平,33,中央电视台综合高清频道（港台电视33）,MEPG-4,AC3,开锁,331,332 333,慈云山 青山 飞鹅山 金山 九龙坑山 西湾山 南朗山 砵甸乍山 赤柱 笔架山 琵琶山 元朗297山 大嶼山275山 照镜环山,64QAM PN945 3/5(0.6),娄工 2023-08-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,522,水平,34,中国环球电视网纪录高清频道（港台电视34）,MEPG-4,AC3,开锁,341,342 343,慈云山 青山 飞鹅山 金山 九龙坑山 西湾山 南朗山 砵甸乍山 赤柱 笔架山 琵琶山 元朗297山 大嶼山275山 照镜环山,64QAM PN945 3/5(0.6),娄工 2023-08-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,522,垂直,31,港台电视31,MEPG-4,AC3,开锁,311,312 313 314 315,飞鹅山 南丫岛 聂高信山 元朗374山 东涌 大浦仔 红花岭 长洲 大欖涌141山 大澳 上洋山 营盘 香港仔 九华径 深井 薄扶林 马湾 石壁,64QAM PN945 3/5(0.6),娄工 2023-08-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,522,垂直,32,港台电视32,MEPG-4,AC3,开锁,321,322 323 324 325,飞鹅山 南丫岛 聂高信山 元朗374山 东涌 大浦仔 红花岭 长洲 大欖涌141山 大澳 上洋山 营盘 香港仔 九华径 深井 薄扶林 马湾 石壁,64QAM PN945 3/5(0.6),娄工 2023-08-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,522,垂直,33,中央电视台综合高清频道（港台电视33）,MEPG-4,AC3,开锁,331,332 333,飞鹅山 南丫岛 聂高信山 元朗374山 东涌 大浦仔 红花岭 长洲 大欖涌141山 大澳 上洋山 营盘 香港仔 九华径 深井 薄扶林 马湾 石壁,64QAM PN945 3/5(0.6),娄工 2023-08-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
