index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,湖南卫视高清频道,AVS+,MPEG-1,开锁, , ,韶山, ,诺基亚2010 2021-06-14,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,474, , ,湖南经视高清频道,AVS+,MPEG-1,开锁, , ,韶山, ,诺基亚2010 2021-06-14,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,474, , ,湖南娱乐,AVS+,MPEG-1,开锁, , ,韶山, ,诺基亚2010 2021-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,474, , ,湖南都市,AVS+,MPEG-1,开锁, , ,韶山, ,诺基亚2010 2021-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,474, , ,湖南电视剧,AVS+,MPEG-1,开锁, , ,韶山, ,诺基亚2010 2021-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,474, , ,金鹰卡通,AVS+,MPEG-1,开锁, , ,韶山, ,诺基亚2010 2021-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,474, , ,湖南时尚,AVS+,MPEG-1,开锁, , ,韶山, ,诺基亚2010 2021-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,474, , ,中央电视台综合频道,AVS+,MPEG-1,开锁, , ,韶山, ,诺基亚2010 2021-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,474, , ,中央电视台新闻频道,AVS+,MPEG-1,开锁, , ,韶山, ,诺基亚2010 2021-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,474, , ,中央电视台音乐频道,AVS+,MPEG-1,开锁, , ,韶山, ,诺基亚2010 2021-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,506, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,湘潭县晓霞山, ,汨罗-小李 2018-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,506, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,湘潭县晓霞山, ,汨罗-小李 2018-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,506, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,湘潭县晓霞山, ,汨罗-小李 2018-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,506, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,湘潭县晓霞山, ,汨罗-小李 2018-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,506, , ,湖南卫视,AVS+,MPEG-1,开锁, , ,湘潭县晓霞山, ,汨罗-小李 2018-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,506, , ,湖南经视,AVS+,MPEG-1,开锁, , ,湘潭县晓霞山, ,汨罗-小李 2018-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,506, , ,湖南娱乐,AVS+,MPEG-1,开锁, , ,湘潭县晓霞山, ,汨罗-小李 2018-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,506, , ,湖南电视剧,AVS+,MPEG-1,开锁, , ,湘潭县晓霞山, ,汨罗-小李 2018-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,506, , ,湖南爱晚,AVS+,MPEG-1,开锁, , ,湘潭县晓霞山, ,汨罗-小李 2018-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,506, , ,湘潭新闻综合,AVS+,MPEG-1,开锁, , ,湘潭县晓霞山, ,汨罗-小李 2018-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,506, , ,湘潭县新闻综合,AVS+,MPEG-1,开锁, , ,湘潭县晓霞山, ,汨罗-小李 2018-11-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,514, , ,[中央电视台综合频道](http://www.cctv.com), , , , , , , ,zhang wang129 2018-03-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,514, , ,[中央电视台财经频道](http://www.cctv.com), , , , , , , ,zhang wang129 2018-03-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,514, , ,中央电视台综艺频道, , , , , , , ,zhang wang129 2018-03-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,514, , ,中央电视台中文国际频道, , , , , , , ,zhang wang129 2018-03-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,514, , ,中央电视台体育频道, , , , , , , ,zhang wang129 2018-03-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,514, , ,中央电视台电影频道, , , , , , , ,zhang wang129 2018-03-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,514, , ,[中央电视台农业农村频道](http://www.cctv.com), , , , , , , ,zhang wang129 2018-03-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,514, , ,[中央电视台电视剧频道](http://www.cctv.com), , , , , , , ,zhang wang129 2018-03-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,514, , ,中央电视台纪录频道, , , , , , , ,zhang wang129 2018-03-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,514, , ,中央电视台科教频道, , , , , , , ,zhang wang129 2018-03-03,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
31,522, , ,金鹰纪实,AVS+,DRA,开锁, , ,市区 湘潭市广播电视发射塔, ,火星无线电 2022-10-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,522, , ,金鹰卡通,AVS+,DRA,开锁, , ,市区 湘潭市广播电视发射塔, ,火星无线电 2022-10-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,522, , ,湖南爱晚,AVS+,DRA,开锁, , ,市区 湘潭市广播电视发射塔, ,火星无线电 2022-10-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,522, , ,湖南电影,AVS+,DRA,开锁, , ,市区 湘潭市广播电视发射塔, ,火星无线电 2022-10-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,522, ,160,湖南教育,AVS+,DRA,开锁, , ,市区 湘潭市广播电视发射塔, ,火星无线电 2022-10-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,530, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区 湘潭市广播电视发射塔, ,火星无线电 2022-10-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,530, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区 湘潭市广播电视发射塔, ,火星无线电 2022-10-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
