index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,522,水平,100,湖南卫视,AVS+,DRA,开锁,101,102,湘西州羊峰山 7602转播台(吉首花果山) 凤凰县 保靖天堂坡 泸溪马鞍山永顺羊峰山 龙山沙子坡 花垣豆腐坡（暂停）,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,522,水平, ,湖南经视,AVS+,DRA,开锁, , ,湘西州羊峰山 7602转播台(吉首花果山) 凤凰县 保靖天堂坡 泸溪马鞍山永顺羊峰山 龙山沙子坡 花垣豆腐坡（暂停）,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,522,水平, ,湖南都市,AVS+,DRA,开锁, , ,湘西州羊峰山 7602转播台(吉首花果山) 凤凰县 保靖天堂坡 泸溪马鞍山永顺羊峰山 龙山沙子坡 花垣豆腐坡（暂停）,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,522,水平, ,湖南娱乐,AVS+,DRA,开锁, , ,湘西州羊峰山 7602转播台(吉首花果山) 凤凰县 保靖天堂坡 泸溪马鞍山永顺羊峰山 龙山沙子坡 花垣豆腐坡（暂停）,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,522,水平, ,湖南电视剧,AVS+,DRA,开锁, , ,湘西州羊峰山 7602转播台(吉首花果山) 凤凰县 保靖天堂坡 泸溪马鞍山永顺羊峰山 龙山沙子坡 花垣豆腐坡（暂停）,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,522,水平, ,金鹰纪实,AVS+,DRA,开锁, , ,湘西州羊峰山 7602转播台(吉首花果山) 凤凰县 保靖天堂坡 泸溪马鞍山永顺羊峰山 龙山沙子坡 花垣豆腐坡（暂停）,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,522,水平, ,金鹰卡通,AVS+,DRA,开锁, , ,湘西州羊峰山 7602转播台(吉首花果山) 凤凰县 保靖天堂坡 泸溪马鞍山永顺羊峰山 龙山沙子坡 花垣豆腐坡（暂停）,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,522,水平, ,湖南爱晚,AVS+,DRA,开锁, , ,湘西州羊峰山 7602转播台(吉首花果山) 凤凰县 保靖天堂坡 泸溪马鞍山永顺羊峰山 龙山沙子坡 花垣豆腐坡（暂停）,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,522,水平, ,湖南教育,AVS+,DRA,开锁, , ,湘西州羊峰山 7602转播台(吉首花果山) 凤凰县 保靖天堂坡 泸溪马鞍山永顺羊峰山 龙山沙子坡 花垣豆腐坡（暂停）,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,522,水平, ,潇湘电影,AVS+,DRA,开锁, , ,湘西州羊峰山 7602转播台(吉首花果山) 凤凰县 保靖天堂坡 泸溪马鞍山永顺羊峰山 龙山沙子坡 花垣豆腐坡（暂停）,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
