index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,171,垂直, ,襄阳综合,AVS+,DRA,开锁,257,258,南漳玉溪山 300W,64QAM PN420 3/5(0.6),laoyange 2022-09-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,171,垂直, ,襄阳经济生活,AVS+,DRA,开锁,513,514,南漳玉溪山 300W,64QAM PN420 3/5(0.6),laoyange 2022-09-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,171,垂直, ,南漳综合,AVS+,DRA,开锁, , ,南漳玉溪山 300W,64QAM PN420 3/5(0.6),laoyange 2022-09-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,171,垂直, ,湖北卫视,AVS+,DRA,开锁, , ,南漳玉溪山 300W,64QAM PN420 3/5(0.6),laoyange 2022-09-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,171,垂直, ,湖北经视,AVS+,DRA,开锁, , ,南漳玉溪山 300W,64QAM PN420 3/5(0.6),laoyange 2022-09-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,171,垂直, ,湖北综合,AVS+,DRA,开锁, , ,南漳玉溪山 300W,64QAM PN420 3/5(0.6),laoyange 2022-09-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,171,垂直, ,湖北生活,AVS+,DRA,开锁, , ,南漳玉溪山 300W,64QAM PN420 3/5(0.6),laoyange 2022-09-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,171,垂直, ,【湖北垄上】,AVS+,DRA,开锁, , ,南漳玉溪山 300W,64QAM PN420 3/5(0.6),laoyange 2022-09-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,203, , ,枣阳综合,AVS+,DRA,开锁,257,258,枣阳,16QAM PN420 4/5(0.8),qianying818 2023-02-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,203, , ,湖北卫视,AVS+,DRA,开锁, , ,枣阳,16QAM PN420 4/5(0.8),qianying818 2023-02-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,203, , ,湖北综合,AVS+,DRA,开锁, , ,枣阳,16QAM PN420 4/5(0.8),qianying818 2023-02-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,203, , ,湖北公共,AVS+,DRA,开锁, , ,枣阳,16QAM PN420 4/5(0.8),qianying818 2023-02-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,203, , ,襄阳综合,AVS+,DRA,开锁, , ,枣阳,16QAM PN420 4/5(0.8),qianying818 2023-02-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,482,水平, ,中央电视台新闻频道,MPEG-4,MPEG-1, ,259,260,襄州, ,qianying818 2017-10-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,482,水平, ,湖北卫视,MPEG-4,MPEG-1, ,263,264,襄州, ,qianying818 2017-10-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,482,水平, ,中电视台综合频道,MPEG-4,MPEG-1, ,267,268,襄州, ,qianying818 2017-10-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,482,水平, ,中央电视台财经频道,MPEG-4,MPEG-1, ,271,272,襄州, ,qianying818 2017-10-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,482,水平, ,[中央电视台综艺频道](http://www.tvb.com),MPEG-4,MPEG-1, ,515,516,襄州, ,qianying818 2017-10-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,482,水平, ,[中央电视台中文国际频道](http://www.tvb.com),MPEG-4,MPEG-1, ,519,520,襄州, ,qianying818 2017-10-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,482,水平, ,中央电视台体育频道,MPEG-4,MPEG-1, ,523,524,襄州, ,qianying818 2017-10-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,482,水平, ,[中央电视台电影频道](http://www.tvb.com),MPEG-4,MPEG-1, ,527,528,襄州, ,qianying818 2017-10-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,482,水平, ,[中央电视台农业农村频道](http://www.tvb.com),MPEG-4,MPEG-1, ,771,772,襄州, ,qianying818 2017-10-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,482,水平, ,中央电视台电视剧频道,MPEG-4,MPEG-1, ,775,776,襄州, ,qianying818 2017-10-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,482,水平, ,中央电视台记录频道,MPEG-4,MPEG-1, ,779,780,襄州, ,qianying818 2017-10-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,482,水平, ,中央电视台科教频道,MPEG-4,MPEG-1, ,783,784,襄州, ,qianying818 2017-10-05,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,482, , ,襄阳综合,AVS+,DRA,开锁,257,258,虎头山发射站,64QAM PN420 3/5(0.6),蓝天 2022-07-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,482, , ,襄阳公共,AVS+,DRA,开锁,260,261,虎头山发射站,64QAM PN420 3/5(0.6),蓝天 2022-07-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,482, , ,襄阳经济生活,AVS+,DRA,开锁,513,514,虎头山发射站,64QAM PN420 3/5(0.6),蓝天 2022-07-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,482, , ,湖北卫视,AVS+,DRA,开锁, , ,虎头山发射站,64QAM PN420 3/5(0.6),蓝天 2022-07-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,482, , ,湖北经视,AVS+,DRA,开锁,1028,1029,虎头山发射站,64QAM PN420 3/5(0.6),蓝天 2022-07-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,482, , ,湖北综合,AVS+,DRA,开锁, , ,虎头山发射站,64QAM PN420 3/5(0.6),蓝天 2022-07-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,482, , ,湖北公共新闻,AVS+,DRA,开锁, , ,虎头山发射站,64QAM PN420 3/5(0.6),蓝天 2022-07-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,482, , ,湖北垄上,AVS+,DRA,开锁, , ,虎头山发射站,64QAM PN420 3/5(0.6),蓝天 2022-07-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,490,水平, ,湖北卫视,AVS+,DRA,开锁,257,258,谷城大薤山,16QAM PN420 4/5(0.8),liu0377 2023-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,490,水平, ,湖北综合,AVS+,DRA,开锁,260,261,谷城大薤山,16QAM PN420 4/5(0.8),liu0377 2023-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,490,水平, ,湖北经视,AVS+,DRA,开锁,769,770,谷城大薤山,16QAM PN420 4/5(0.8),liu0377 2023-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,490,水平, ,湖北垄上,AVS+,DRA,开锁,513,514,谷城大薤山,16QAM PN420 4/5(0.8),liu0377 2023-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,490,水平, ,湖北公共新闻,AVS+,DRA,开锁,516,517,谷城大薤山,16QAM PN420 4/5(0.8),liu0377 2023-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,490,水平, ,谷城综合,AVS+,DRA,开锁,772,773,谷城大薤山,16QAM PN420 4/5(0.8),liu0377 2023-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,490,水平, ,中电视台戏曲频道,MPEG-4,MPEG-1, ,259,260,襄州, ,showshow531 2017-01-06,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,490,水平, ,中央电视台社会与法频道,MPEG-4,MPEG-1, ,263,264,襄州, ,showshow531 2017-01-06,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,490,水平, ,[中央电视台少儿频道](http://www.tvb.com),MPEG-4,MPEG-1, ,267,268,襄州, ,showshow531 2017-01-06,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,490,水平, ,[中央电视台音乐频道](http://www.tvb.com),MPEG-4,MPEG-1, ,271,272,襄州, ,showshow531 2017-01-06,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
43,490,水平, ,襄州-1,MPEG-4,MPEG-1, ,515,516,襄州, ,showshow531 2017-01-06,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
44,490,水平, ,襄州-2,MPEG-4,MPEG-1, ,519,520,襄州, ,showshow531 2017-01-06,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
45,490,水平, ,襄阳-1,MPEG-4,MPEG-1, ,523,524,襄州, ,showshow531 2017-01-06,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
46,490,水平, ,襄阳-2,MPEG-4,MPEG-1, ,527,528,襄州, ,showshow531 2017-01-06,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
47,490,水平, ,湖南卫视,MPEG-4,MPEG-1, ,771,772,襄州, ,showshow531 2017-01-06,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
48,490,水平, ,金鹰卡通,MPEG-4,MPEG-1, ,775,776,襄州, ,showshow531 2017-01-06,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
49,490,水平, ,福建东南卫视,MPEG-4,MPEG-1, ,779,780,襄州, ,showshow531 2017-01-06,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
50,490,水平, ,贵州卫视,MPEG-4,MPEG-1, ,783,784,襄州, ,showshow531 2017-01-06,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
51,498, , ,湖北卫视,AVS+,DRA,开锁, , ,保康聚龙山,64QAM PN420 3/5(0.6),qianying818 2023-02-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
52,498, , ,湖北综合,AVS+,DRA,开锁, , ,保康聚龙山,64QAM PN420 3/5(0.6),qianying818 2023-02-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
53,498, , ,湖北经视,AVS+,DRA,开锁, , ,保康聚龙山,64QAM PN420 3/5(0.6),qianying818 2023-02-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
