index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,179, , ,湖北卫视,AVS+,DRA,开锁, , ,市区, ,hbtv520 2021-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,179, , ,湖北垄上,AVS+,DRA,开锁, , ,市区, ,hbtv520 2021-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,179, , ,湖北综合,AVS+,DRA,开锁, , ,市区, ,hbtv520 2021-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,179, , ,湖北新闻公共,AVS+,DRA,开锁, , ,市区, ,hbtv520 2021-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,179, , ,湖北经视,AVS+,DRA,开锁, , ,市区, ,hbtv520 2021-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,179, , ,咸宁综合,AVS+,DRA,开锁,519,720,市区, ,hbtv520 2021-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,179, , ,咸宁公共,AVS+,DRA,开锁, , ,市区, ,hbtv520 2021-08-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,187, , ,湖北卫视,AVS+,DRA,开锁,516,517,崇阳, ,Hello 2023-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,187, , ,湖北经视,AVS+,DRA,开锁,772,773,崇阳, ,Hello 2023-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,187, , ,湖北公共新闻,AVS+,DRA,开锁,1025,1026,崇阳, ,Hello 2023-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,187, , ,湖北垄上,AVS+,DRA,开锁,513,514,崇阳, ,Hello 2023-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,187, , ,咸宁综合,AVS+,DRA,开锁,257,258,崇阳, ,Hello 2023-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,187, , ,咸宁经济生活,AVS+,DRA,开锁,260,261,崇阳, ,Hello 2023-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,187, , ,崇阳电视台,AVS+,MPEG-1,开锁,1028,1029,崇阳, ,Hello 2023-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,195, , ,湖北卫视,AVS+,DRA,开锁,516,517,通城, ,Hello 2023-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,195, , ,湖北经视,AVS+,DRA,开锁,772,773,通城, ,Hello 2023-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,195, , ,湖北公共新闻,AVS+,DRA,开锁,1025,1026,通城, ,Hello 2023-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,195, , ,湖北垄上,AVS+,DRA,开锁,513,514,通城, ,Hello 2023-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,195, , ,咸宁综合,AVS+,DRA,开锁,257,258,通城, ,Hello 2023-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,195, , ,咸宁经济生活,AVS+,DRA,开锁,260,261,通城, ,Hello 2023-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,195, , ,通城电视台,AVS+,MPEG-1,开锁,1028,1029,通城, ,Hello 2023-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,474, , ,湖北卫视,AVS+,DRA,开锁,516,517,嘉鱼,16QAM PN420 4/5(0.8),湘岳地面锅 2023-05-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,474, , ,湖北经视,AVS+,DRA,开锁,772,773,嘉鱼,16QAM PN420 4/5(0.8),湘岳地面锅 2023-05-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
