index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,195, , ,湖北卫视,AVS+,DRA,开锁,257,268, ,16QAM PN420 4/5(0.8),湘岳地面锅2023-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,195, , ,湖北经视,AVS+,DRA,开锁, , , ,16QAM PN420 4/5(0.8),湘岳地面锅2023-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,195, , ,湖北公新闻,AVS+,DRA,开锁, , , ,16QAM PN420 4/5(0.8),湘岳地面锅2023-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,195, , ,湖北垄上,AVS+,DRA,开锁, , , ,16QAM PN420 4/5(0.8),湘岳地面锅2023-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,195, , ,湖北综合,AVS+,DRA,开锁, , , ,16QAM PN420 4/5(0.8),湘岳地面锅2023-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,195, , ,仙桃一套,AVS+,DRA,开锁, , , ,16QAM PN420 4/5(0.8),湘岳地面锅2023-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,195, , ,【仙桃二套 黑屏】,AVS+,DRA,开锁, , , ,16QAM PN420 4/5(0.8),湘岳地面锅2023-11-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,722, , ,[中央电视台 农业农村频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650, , ,心上秋雨 2018-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,722, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660, , ,心上秋雨 2018-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,722, , ,[中央电视台戏曲频道](http://www.thmz.com/),AVS+,DRA,开锁,514,670, , ,心上秋雨 2018-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,722, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680, , ,心上秋雨 2018-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,786, , ,[中央电视台综合频道](http://www.cctv.com),AVS+,DRA,开锁,512,650, , ,心上秋雨 2018-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,786, , ,[中央电视台财经频道](http://www.cctv.com),AVS+,DRA,开锁,513,660, , ,心上秋雨 2018-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,786, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670, , ,心上秋雨 2018-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,786, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680, , ,心上秋雨 2018-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,786, , ,中央电视台社会与法频道,AVS+,DRA,开锁,516,690, , ,心上秋雨 2018-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,786, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700, , ,心上秋雨 2018-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,786, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710, , ,心上秋雨 2018-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,786, , ,[中央电视台音乐频道](http://www.cctv.com),AVS+,DRA,开锁,519,720, , ,心上秋雨 2018-12-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
