index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474,水平,201,陕西新闻资讯,AVS+,DRA,开锁,211,212,咸阳594电台,16QAM PN945 4/5(0.8),DFL 2023-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,474,水平,202,陕西都市青春,AVS+,DRA,开锁,221,222,咸阳594电台,16QAM PN945 4/5(0.8),DFL 2023-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,474,水平,205,陕西公共,AVS+,DRA,开锁,251,252,咸阳594电台,16QAM PN945 4/5(0.8),DFL 2023-12-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,474,水平,101,陕西农村广播, ,MPEG-1,开锁, ,74,咸阳594电台,16QAM PN945 4/5(0.8),DFL 2023-12-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,474,水平,102,陕西都市广播, ,MPEG-1,开锁, ,78,咸阳594电台,16QAM PN945 4/5(0.8),DFL 2023-12-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,474,水平,103,陕西音乐广播, ,MPEG-1,开锁, ,54,咸阳594电台,16QAM PN945 4/5(0.8),DFL 2023-12-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,474,水平,104,陕西戏曲广播, ,MPEG-1,开锁, ,76,咸阳594电台,16QAM PN945 4/5(0.8),DFL 2023-12-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,474,水平,105,陕西经济广播, ,MPEG-1,开锁, ,66,咸阳594电台,16QAM PN945 4/5(0.8),DFL 2023-12-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,474,水平,106,陕西音乐广播, ,MPEG-1,开锁, ,54,咸阳594电台,16QAM PN945 4/5(0.8),DFL 2023-12-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,474,水平,107,陕西新闻广播, ,MPEG-1,开锁, ,66,咸阳594电台,16QAM PN945 4/5(0.8),DFL 2023-12-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,474,水平,108,陕西青少广播, ,MPEG-1,开锁, ,80,咸阳594电台,16QAM PN945 4/5(0.8),DFL 2023-12-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,474,水平,109,陕西秦腔广播, ,MPEG-1,开锁, ,96,咸阳594电台,16QAM PN945 4/5(0.8),DFL 2023-12-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,474,水平,111,陕西交通广播, ,MPEG-1,开锁, ,52,咸阳594电台,16QAM PN945 4/5(0.8),DFL 2023-12-30,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,514,水平,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,咸阳594电台,16QAM 4/5(0.8),会飞的鱼2023-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,514,水平,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,咸阳594电台,16QAM 4/5(0.8),会飞的鱼2023-02-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
