index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,187, , ,湖北卫视,AVS+,DRA,开锁,257,258,安陆, ,安陆烧友2022-09-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,187, , ,湖北综合,AVS+,DRA,开锁,260,261,安陆, ,安陆烧友2022-09-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,187, , ,湖北经视,AVS+,DRA,开锁,513,514,安陆, ,安陆烧友2022-09-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,187, , ,湖北公共新闻,AVS+,DRA,开锁,516,517,安陆, ,安陆烧友2022-09-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,187, , ,湖北影视,AVS+,DRA,开锁,769,770,安陆, ,安陆烧友2022-09-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,187, , ,孝感新闻综合,AVS+,DRA,开锁, , ,安陆, ,安陆烧友2022-09-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,187, , ,孝感生活,AVS+,DRA,开锁,1025,1026,安陆, ,安陆烧友2022-09-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,187, ,302,安陆新闻综合,AVS+,DRA,开锁,772,773,安陆, ,安陆烧友2022-09-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,498, , ,湖北卫视,AVS+,DRA,开锁,257,258,大悟, ,yuanyechang 2023-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,498, , ,湖北综合,AVS+,DRA,开锁,260,261,大悟, ,yuanyechang 2023-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,498, , ,湖北经视,AVS+,DRA,开锁,513,514,大悟, ,yuanyechang 2023-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,498, , ,湖北公共新闻,AVS+,DRA,开锁,516,517,大悟, ,yuanyechang 2023-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,498, , ,湖北垄上,AVS+,DRA,开锁,769,770,大悟, ,yuanyechang 2023-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,498, , ,孝感生活,AVS+,DRA,开锁,772,773,大悟, ,yuanyechang 2023-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,498, , ,孝感新闻综合,AVS+,DRA,开锁,772,773,大悟, ,yuanyechang 2023-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,498, , ,大悟综合,AVS+,DRA,开锁,1028,1029,大悟, ,yuanyechang 2023-02-15,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,554, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,应城 安陆 大悟, ,yuanyechang 2023-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,554, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,应城 安陆 大悟, ,yuanyechang 2023-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,554, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,应城 安陆 大悟, ,yuanyechang 2023-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,554, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,应城 安陆 大悟, ,yuanyechang 2023-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,554, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,应城 安陆 大悟, ,yuanyechang 2023-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,554, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,应城 安陆 大悟, ,yuanyechang 2023-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,554, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,应城 安陆 大悟, ,yuanyechang 2023-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
