index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,187, , ,威县综合,AVS+,DRA,开锁,34,35,威县, ,超级卫视HD 2022-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,187, , ,威县教育,AVS+,DRA,开锁,37,38,威县, ,超级卫视HD 2022-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,187, , ,【预备频道】,AVS+,DRA,开锁,58,59,威县, ,超级卫视HD 2022-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,187, , ,【预备频道】,AVS+,DRA,开锁,60,61,威县, ,超级卫视HD 2022-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,187, , ,【预备频道】,AVS+,DRA,开锁,45,46,威县, ,超级卫视HD 2022-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,187, , ,【预备频道】,AVS+,DRA,开锁,52,53,威县, ,超级卫视HD 2022-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,187, , ,【预备频道】,AVS+,DRA,开锁,41,42,威县, ,超级卫视HD 2022-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,187, , ,【预备频道】,AVS+,DRA,开锁,49,50,威县, ,超级卫视HD 2022-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,474, ,32,柏乡一套,AVS+,DRA,开锁,34,35,柏乡, ,lixuedong 2022-08-28,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,474, , ,柏乡二套,AVS+,DRA,开锁,38,39,柏乡, ,lixuedong 2022-08-28,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,474, , ,隆尧综合,AVS+,DRA,开锁,34,35,隆尧, ,lixuedong 2022-08-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,474, , ,隆尧影视,AVS+,DRA,开锁,37,38,隆尧, ,lixuedong 2022-08-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,474, , ,邢台综合,AVS+,DRA,开锁,58,59,隆尧, ,lixuedong 2022-08-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,474, , ,梨园,AVS+,DRA,开锁,60,61,隆尧, ,lixuedong 2022-08-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,474, , ,河北农民,AVS+,DRA,开锁,45,46,隆尧, ,lixuedong 2022-08-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,474, , ,金鹰卡通,AVS+,DRA,开锁,52,53,隆尧, ,lixuedong 2022-08-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,474, , ,河北经济,AVS+,DRA,开锁,41,42,隆尧, ,lixuedong 2022-08-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,474, , ,河北影视,AVS+,DRA,开锁,49,50,隆尧, ,lixuedong 2022-08-25,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,490,垂直,257,中央电视台综合频道,MPEG-4,MPEG-1,Cryptoworks,777,778,威县, ,lixuedong 2023-05-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,490,垂直,258,中央电视台财经频道,MPEG-4,MPEG-1,Cryptoworks,779,780,威县, ,lixuedong 2023-05-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,490,垂直,260,中央电视台中文国际频道,MPEG-4,MPEG-1,Cryptoworks,792,793,威县, ,lixuedong 2023-05-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,490,垂直,263,中央电视台国防军事频道,MPEG-4,MPEG-1,Cryptoworks,1306,1307,威县, ,lixuedong 2023-05-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,490,垂直,265,中央电视台纪录频道,MPEG-4,MPEG-1,Cryptoworks,521,522,威县, ,lixuedong 2023-05-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,490,垂直,272,中央电视台科教频道,MPEG-4,MPEG-1,Cryptoworks,783,784,威县, ,lixuedong 2023-05-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,490,垂直,273,中央电视台戏曲频道,MPEG-4,MPEG-1,Cryptoworks,785,786,威县, ,lixuedong 2023-05-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,490,垂直,274,中央电视台社会与法频道,MPEG-4,MPEG-1,Cryptoworks,787,788,威县, ,lixuedong 2023-05-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,490,垂直,277,中央电视台音乐频道,MPEG-4,MPEG-1,Cryptoworks,789,790,威县, ,lixuedong 2023-05-17,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
