index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,187, , ,河南卫视,MPEG-2,MPEG-1,开锁,128,144,息县,64QAM PN420 3/5(0.6),元氏老宋2023-03-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,187, , ,息县综合,MPEG-2,MPEG-1,开锁,129,145,息县,64QAM PN420 3/5(0.6),元氏老宋2023-03-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,187, , ,欢腾购物,MPEG-2,MPEG-1,开锁,130,146,息县,64QAM PN420 3/5(0.6),元氏老宋2023-03-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,187, , ,欢腾购物,MPEG-2,MPEG-1,开锁,131,147,息县,64QAM PN420 3/5(0.6),元氏老宋2023-03-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,211,水平, ,中央电视台综艺频道,AVS+,DRA,开锁, , ,潢川县,16QAM PN420 4/5(0.8),刘学文 2024-02-15 qianying818,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,211,水平, ,中央电视台体育频道,AVS+,DRA,开锁, , ,潢川县,16QAM PN420 4/5(0.8),刘学文 2024-02-15 qianying818,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,211,水平, ,中央电视台电视剧频道,AVS+,DRA,开锁, , ,潢川县,16QAM PN420 4/5(0.8),刘学文 2024-02-15 qianying818,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,211,水平, ,中央电视台新闻频道,AVS+,DRA,开锁, , ,潢川县,16QAM PN420 4/5(0.8),刘学文 2024-02-15 qianying818,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,211,水平, ,中央电视台综合频道,AVS+,DRA,开锁, , ,潢川县,16QAM PN420 4/5(0.8),刘学文 2024-02-15 qianying818,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,211,水平, ,河南卫视,AVS+,DRA,开锁, , ,潢川县,16QAM PN420 4/5(0.8),刘学文 2024-02-15 qianying818,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,211,水平, ,信阳新闻综合,AVS+,DRA,开锁,43,44,潢川县,16QAM PN420 4/5(0.8),刘学文 2024-02-15 qianying818,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
