index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,618, , ,中央电视台军事农业频道,AVS+,DRA,开锁,512,650, , ,413112784 2018-05-16, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,618, , ,中央电视台记录频道,AVS+,DRA,开锁,513,660, , ,413112784 2018-05-16, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,618, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670, , ,413112784 2018-05-16, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,618, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680, , ,413112784 2018-05-16, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,714, , ,江西一套,AVS+,DRA, , , , , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,714, , ,江西二套,AVS+,DRA,开锁,1071,172, , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,714, , ,江西三套,AVS+,DRA, , , , , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,714, , ,江西四套,AVS+,DRA, , , , , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,714, , ,江西五套,AVS+,DRA, , , , , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,714, , ,江西六套,AVS+,DRA, , , , , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,714, , ,JXYT,AVS+,DRA, , , , , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,714, , ,新余新闻综合,AVS+,DRA,开锁,1011,1012, , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,730, , , ,AVS+,MPEG-1, , , , , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,730, , , ,AVS+,MPEG-1, , , , , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,730, , , ,AVS+,MPEG-1, , , , , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,730, , , ,AVS+,MPEG-1, , , , , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,730, , , ,AVS+,MPEG-1, , , , , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,730, , , ,AVS+,MPEG-1, , , , , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,730, , , ,AVS+,MPEG-1, , , , , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,730, , , ,AVS+,MPEG-1, , , , , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,730, , , ,AVS+,MPEG-1, , , , , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,730, , , ,AVS+,MPEG-1, , , , , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,730, , , ,AVS+,MPEG-1, , , , , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,738, , ,中央电视台综合频道, , , , , , , ,413112784 2018-05-16, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,738, , ,中央电视台经济频道, , , , , , , ,413112784 2018-05-16, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,738, , ,中央电视台综艺频道, , , , , , , ,413112784 2018-05-16, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,738, , ,中央电视台中文国际频道, , , , , , , ,413112784 2018-05-16, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,738, , ,中央电视台体育频道, , , , , , , ,413112784 2018-05-16, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,738, , ,中央电视台军事农业频道, , , , , , , ,413112784 2018-05-16, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,738, , ,中央电视台电视剧频道, , , , , , , ,413112784 2018-05-16, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,738, , ,中央电视台纪录频道, , , , , , , ,413112784 2018-05-16, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,738, , ,[中央电视台科教频道](http://www.cctv.com), , , , , , , ,413112784 2018-05-16, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,738, , ,中央电视台戏曲频道, , , , , , , ,413112784 2018-05-16, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,738, , ,[中央电视台社会与法频道](http://www.cctv.com), , , , , , , ,413112784 2018-05-16, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,770, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650, , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,770, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660, , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,770, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670, , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,770, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680, , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,770, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690, , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,770, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700, , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,770, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710, , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,770, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720, , ,心上秋雨2018-12-07, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
