index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,中央电视台农业农村频道,AVS+,DRA,开锁, , ,定襄, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,474, , ,中央电视台纪录频道,AVS+,DRA,开锁, , ,定襄, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,474, , ,中央电视台戏曲频道,AVS+,DRA,开锁, , ,定襄, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,474, , ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,定襄, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,474, , ,山西卫视,AVS+,DRA,开锁, , ,定襄, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,474, , ,忻州综合,AVS+,DRA,开锁, , ,定襄, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,474, , ,山西社会与法制,AVS+,DRA,开锁, , ,定襄, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,474, , ,定襄综合,AVS+,DRA,开锁, , ,定襄, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,474,水平, ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,繁峙, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,474,水平, ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,繁峙, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,474,水平, ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,繁峙, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,474,水平, ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,繁峙, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,474,水平, ,山西卫视,AVS+,DRA,开锁,516,690,繁峙, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,474,水平, ,忻州综合,AVS+,DRA,开锁,517,700,繁峙, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,474,水平, ,忻州公共,AVS+,DRA,开锁,518,710,繁峙, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,474,水平, ,繁峙电视台,AVS+,DRA,开锁,519,720,繁峙, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,506,垂直, ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,代县, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,506,垂直, ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,代县, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,506,垂直, ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,代县, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,506,垂直, ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,代县, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,506,垂直, ,山西卫视,AVS+,DRA,开锁,34,35,代县, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,506,垂直, ,山西 社会与法制,AVS+,DRA,开锁,50,51,代县, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,506,垂直, ,忻州综合,AVS+,DRA,开锁,66,67,代县, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,506,垂直, ,代县综合,AVS+,DRA,开锁,82,83,代县, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,506,垂直, ,广播节目, , , , ,101,代县, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,506,垂直, ,冬天通道3, , , , ,2502,代县, ,qwerty 187350 2023-01-13,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,562,水平 垂直,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,忻州单频网, ,qwerty 187350 2022-07-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,562,水平 垂直,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,忻州单频网, ,qwerty 187350 2022-07-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,562,水平 垂直,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,忻州单频网, ,qwerty 187350 2022-07-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,562,水平 垂直,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,忻州单频网, ,qwerty 187350 2022-07-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,562,水平 垂直,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,忻州单频网, ,qwerty 187350 2022-07-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,562,水平 垂直,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,忻州单频网, ,qwerty 187350 2022-07-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,562,水平 垂直,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,忻州单频网, ,qwerty 187350 2022-07-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,562,水平 垂直,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,忻州单频网, ,qwerty 187350 2022-07-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,562,水平 垂直,101,中国之声, ,MPEG-1,开锁, ,730,忻州单频网, ,qwerty 187350 2022-07-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,562,水平 垂直,102,经济之声, ,MPEG-1,开锁, ,740,忻州单频网, ,qwerty 187350 2022-07-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
