index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482,水平, ,徐州新闻综合,AVS+,DRA,开锁,5011,5012,铜山 森林公园, ,徐州小喇叭2022-12-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482,水平, ,铜山一套,AVS+,DRA,开锁,5021,5022,铜山 森林公园, ,徐州小喇叭2022-12-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,490,水平, ,中央电视台纪录频道,AVS+,DRA,开锁,3071,3072,邳州, ,陌上秋风 2020-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,490,水平, ,中央电视台戏曲频道,AVS+,DRA,开锁,3091,3092,邳州, ,陌上秋风 2020-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,490,水平, ,中央电视台少儿频道,AVS+,DRA,开锁,3111,3112,邳州, ,陌上秋风 2020-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,490,水平, ,中央电视台音乐频道,AVS+,DRA,开锁,3141,3142,邳州, ,陌上秋风 2020-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,490,水平, ,中央电视台农业农村频道,AVS+,DRA,开锁,3151,3152,邳州, ,陌上秋风 2020-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,490,水平, ,中国环球电视网新闻频道,AVS+,DRA,开锁,3161,3162,邳州, ,陌上秋风 2020-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,490,水平, ,徐州新闻综合,AVS+,DRA,开锁,5011,5012,邳州, ,陌上秋风 2020-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,490,水平, ,邳州新闻综合,AVS+,DRA,开锁,5021,5022,邳州, ,陌上秋风 2020-09-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,506, , ,[中央电视台农业农村频道](http://www.thmz.com/),AVS+,DRA,开锁,3071,3072,睢宁, ,睢宁广电2018-01-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,506, , ,中央电视台纪录频道,AVS+,DRA,开锁,3091,3092,睢宁, ,睢宁广电2018-01-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,506, , ,中央电视台戏曲频道,AVS+,DRA,开锁,3111,3112,睢宁, ,睢宁广电2018-01-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,506, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,3161,3162,睢宁, ,睢宁广电2018-01-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,506, , ,睢宁电视台,AVS+,DRA,开锁, , ,睢宁, ,睢宁广电2018-01-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,538,水平, ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,3011,3012,市区 丰县 新沂 睢宁 邳州 沛县 贾汪 铜山, ,徐州小喇叭2022-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,538,水平, ,中央电视台财经频道,AVS+,DRA,开锁,3021,3022,市区 丰县 新沂 睢宁 邳州 沛县 贾汪 铜山, ,徐州小喇叭2022-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,538,水平, ,中央电视台中文国际频道,AVS+,DRA,开锁,3041,3042,市区 丰县 新沂 睢宁 邳州 沛县 贾汪 铜山, ,徐州小喇叭2022-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,538,水平, ,中央电视台科教频道,AVS+,DRA,开锁,3101,3102,市区 丰县 新沂 睢宁 邳州 沛县 贾汪 铜山, ,徐州小喇叭2022-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,538,水平, ,中央电视台社会与法频道,AVS+,DRA,开锁,3121,3122,市区 丰县 新沂 睢宁 邳州 沛县 贾汪 铜山, ,徐州小喇叭2022-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
