index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,498, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,敦化, ,南承虎 2017-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,498, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,敦化, ,南承虎 2017-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,498, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,敦化, ,南承虎 2017-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,498, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,敦化, ,南承虎 2017-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,498, , ,敦化一套,AVS+,DRA,开锁,1942,1943,敦化, ,南承虎 2017-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,498, , ,延边一套,AVS+,DRA,开锁,51,52,敦化, ,南承虎 2017-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,498, , ,吉视乡村,AVS+,DRA,开锁,32,33,敦化, ,南承虎 2017-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,498, , ,吉林卫视,AVS+,DRA,开锁,37,38,敦化, ,南承虎 2017-12-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,514, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,和龙市, ,南承虎 2017-11-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,514, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,和龙市, ,南承虎 2017-11-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,514, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,和龙市, ,南承虎 2017-11-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,514, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,和龙市, ,南承虎 2017-11-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,514, , ,和龙综合,AVS+,DRA,开锁, , ,和龙市, ,南承虎 2017-11-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,514, , ,延边一套,AVS+,DRA,开锁,51,52,和龙市, ,南承虎 2017-11-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,514, , ,吉视乡村,AVS+,DRA,开锁, , ,和龙市, ,南承虎 2017-11-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,514, , ,吉林卫视,AVS+,DRA,开锁, , ,和龙市, ,南承虎 2017-11-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,546, , ,中央电视台农业农村频道,AVS+,DRA,开锁, , ,图们, ,南承虎 2017-04-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,546, , ,中央电视台纪录频道,AVS+,DRA,开锁, , ,图们, ,南承虎 2017-04-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,546, , ,中央电视台戏曲频道,AVS+,DRA,开锁, , ,图们, ,南承虎 2017-04-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,546, , ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,图们, ,南承虎 2017-04-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,546, , ,图们电视台,AVS+,DRA,开锁, , ,图们, ,南承虎 2017-04-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,546, , ,延边一套,AVS+,DRA,开锁, , ,图们, ,南承虎 2017-04-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
