index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,171, , ,[响水综合](http://www.thmz.com/),AVS+,DRA,开锁,6011,6012,响水,64QAM PN420 3/5(0.6),挥洒云烟2023-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,195, , ,建湖融媒一套,AVS+,DRA,开锁,201,202,建湖, ,Victory 2023-09-22,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,195, , ,建湖融媒一套,AVS+,DRA,开锁, , ,建湖, ,Victory 2023-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,203, ,601,[滨海新闻综合](http://www.thmz.com/),AVS+,DRA,开锁,6011,6012,滨海,4QAM 2/5(0.4),1.0 2023-05-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,474, ,100,盐都一套,AVS+,DRA,开锁,101,102,盐都, ,Victory 2022-08-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,482, , ,中央电视台农业农村频道,AVS+,DRA, , , ,响水, ,大表哥 2017-02-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,482, , ,中央电视台纪录频道,AVS+,DRA, , , ,响水, ,大表哥 2017-02-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,482, , ,中央电视台戏曲频道,AVS+,DRA, , , ,响水, ,大表哥 2017-02-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,482, , ,中国环球新闻网新闻频道,AVS+,DRA, , , ,响水, ,大表哥 2017-02-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,482, , ,盐城3台,AVS+,DRA, , , ,响水, ,大表哥 2017-02-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,482, , ,盐城4台,AVS+,DRA, , , ,响水, ,大表哥 2017-02-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,482, , ,响水电视台,AVS+,DRA, , , ,响水, ,大表哥 2017-02-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,482, , ,江苏影视,AVS+,DRA, , , ,响水, ,大表哥 2017-02-27,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,482, , ,江苏体育休闲,AVS+,DRA, , , ,响水, ,大表哥 2017-02-27,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,506,垂直, ,[中央电视台农业农村频道](http://www.thmz.com/),AVS+,DRA,开锁,3071,3072,东台, ,周月华 2020-08-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,506,垂直, ,中央电视台纪录频道,AVS+,DRA,开锁,3091,3092,东台, ,周月华 2020-08-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,506,垂直, ,中央电视台戏曲频道,AVS+,DRA,开锁,3111,3112,东台, ,周月华 2020-08-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,506,垂直, ,中央电视台少儿频道,AVS+,DRA,开锁,3141,3142,东台, ,周月华 2020-08-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
