index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482,水平, ,广东体育,MPEG-2,DRA,开锁,5001,5002,阳江望了岭,64QAM PN420 3/5(0.6),梁行云 2022-08-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482,水平, ,广东珠江,MPEG-2,DRA,开锁,5003,5004,阳江望了岭,64QAM PN420 3/5(0.6),梁行云 2022-08-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,482,水平, ,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5005,5006,阳江望了岭,64QAM PN420 3/5(0.6),梁行云 2022-08-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482,水平, ,阳江一套,MPEG-2,DRA,开锁,5007,5008,阳江望了岭,64QAM PN420 3/5(0.6),梁行云 2022-08-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482,水平, ,广东新闻,MPEG-2,DRA,开锁,5009,5010,阳江望了岭,64QAM PN420 3/5(0.6),梁行云 2022-08-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,490,水平, ,广东体育,MPEG-2,DRA,开锁,5001,5002,阳春钩髻顶,64QAM PN420 3/5(0.6),庙龙阿江 2023-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,490,水平, ,广东珠江,MPEG-2,DRA,开锁,5003,5004,阳春钩髻顶,64QAM PN420 3/5(0.6),庙龙阿江 2023-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,490,水平, ,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5005,5006,阳春钩髻顶,64QAM PN420 3/5(0.6),庙龙阿江 2023-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,490,水平, ,阳江一套,MPEG-2,DRA,开锁,5007,5008,阳春钩髻顶,64QAM PN420 3/5(0.6),庙龙阿江 2023-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,490,水平, ,阳春综合,MPEG-2,MPEG-1,开锁,5009,5010,阳春钩髻顶,64QAM PN420 3/5(0.6),庙龙阿江 2023-04-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,490,水平, ,广东体育,MPEG-2,DRA,开锁,5001,5002,阳西, ,a利 2017-10-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,490,水平, ,广东珠江,MPEG-2,DRA,开锁,5003,5004,阳西, ,a利 2017-10-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,490,水平, ,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5005,5006,阳西, ,a利 2017-10-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,490,水平, ,阳西综合,MPEG-2,DRA,开锁,5007,5008,阳西, ,a利 2017-10-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
