index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,山西卫视, , , , , ,孟县, ,元氏老宋2023-12-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,474, , ,阳泉电视台, , , , , ,孟县, ,元氏老宋2023-12-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,474, , ,孟县电视台, , , , , ,孟县, ,元氏老宋2023-12-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,570, , ,阳泉综合, , , , , , , ,slp223 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,570, , ,阳泉科教, , , , , , , ,slp223 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,570, , ,阳泉三套, , , , , , , ,slp223 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,570, , ,阳泉图文, , , , , , , ,slp223 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,570, , ,[中央电视台综合频道](http://www.cctv.com), , , , , , , ,slp223 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,570, , ,[中央电视台经济频道](http://www.cctv.com), , , , , , , ,slp223 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,570, , ,[中央电视台综艺频道](http://www.cctv.com), , , , , , , ,slp223 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,570, , ,[中央电视台中文国际频道](http://www.cctv.com), , , , , , , ,slp223 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,570, , ,中央电视台体育频道, , , , , , , ,slp223 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,570, , ,[中央电视台电影频道](http://www.cctv.com), , , , , , , ,slp223 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,578, , ,[中央电视台军事农业频道](http://www.cctv.com), , , , , , , ,slp223 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,578, , ,[中央电视台电视剧频道](http://www.cctv.com), , , , , , , ,slp223 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,578, , ,[中央电视台科教频道](http://www.cctv.com), , , , , , , ,slp223 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,578, , ,中央电视台戏曲频道, , , , , , , ,slp223 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,578, , ,[中央电视台社会与法频道](http://www.cctv.com), , , , , , , ,slp223 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,578, , ,中央电视台新闻频道, , , , , , , ,slp223 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,578, , ,中央电视台少儿频道, , , , , , , ,slp223 2018-02-25,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
