index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,490,水平, ,高邮一套,AVS+,DRA,开锁,3071,3072,高邮,16QAM,15332816764 2022-09-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,538, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区 江都 宝应 高邮 仪征, ,FSY 2022-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,538, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区 江都 宝应 高邮 仪征, ,FSY 2022-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,538, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区 江都 宝应 高邮 仪征, ,FSY 2022-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,538, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区 江都 宝应 高邮 仪征, ,FSY 2022-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,538, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区 江都 宝应 高邮 仪征, ,FSY 2022-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,538, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,市区 江都 宝应 高邮 仪征, ,FSY 2022-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,538, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,市区 江都 宝应 高邮 仪征, ,FSY 2022-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,538, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,市区 江都 宝应 高邮 仪征, ,FSY 2022-10-04,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,538, ,101,中国之声, ,MPEG-1,开锁, ,730,市区 江都 宝应 高邮 仪征, ,FSY 2022-10-04,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,538, ,102,经济之声, ,MPEG-1,开锁, ,740,市区 江都 宝应 高邮 仪征, ,FSY 2022-10-04,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,538, ,103,音乐之声, ,MPEG-1,开锁, ,750,市区 江都 宝应 高邮 仪征, ,FSY 2022-10-04,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,538, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,市区 江都 宝应 高邮 仪征, ,FSY 2022-10-04,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,538, ,105,台海之声, ,MPEG-1,开锁, ,770,市区 江都 宝应 高邮 仪征, ,FSY 2022-10-04,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,538, ,106,神州之声, ,MPEG-1,开锁, ,780,市区 江都 宝应 高邮 仪征, ,FSY 2022-10-04,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,538, ,108,民族之声, ,MPEG-1,开锁, ,790,市区 江都 宝应 高邮 仪征, ,FSY 2022-10-04,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,538, ,109,文艺之声, ,MPEG-1,开锁, ,800,市区 江都 宝应 高邮 仪征, ,FSY 2022-10-04,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,538, ,110,老年之声, ,MPEG-1,开锁, ,810,市区 江都 宝应 高邮 仪征, ,FSY 2022-10-04,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,538, ,112,阅读之声, ,MPEG-1,开锁, ,820,市区 江都 宝应 高邮 仪征, ,FSY 2022-10-04,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
