index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474,垂直,32,烟台新闻综合,AVS+,MPEG-1,开锁,34,35,海阳朱吴镇跑马岭山顶,16QAM PN420 4/5(0.8),大乖乖 2022-09-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,474,垂直,48,烟台公共,AVS+,MPEG-1,开锁,50,51,海阳朱吴镇跑马岭山顶,16QAM PN420 4/5(0.8),大乖乖 2022-09-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,474,垂直,64,烟台影视,AVS+,MPEG-1,开锁,66,67,海阳朱吴镇跑马岭山顶,16QAM PN420 4/5(0.8),大乖乖 2022-09-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,474,垂直,90,烟台经济科技,AVS+,MPEG-1,开锁,98,99,海阳朱吴镇跑马岭山顶,16QAM PN420 4/5(0.8),大乖乖 2022-09-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,474,垂直,1,烟台综合广播主频道, ,MPEG-1,开锁, ,81,海阳朱吴镇跑马岭山顶,16QAM PN420 4/5(0.8),大乖乖 2022-09-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,474,垂直,2,烟台音乐广播, ,MPEG-1,开锁, ,82,海阳朱吴镇跑马岭山顶,16QAM PN420 4/5(0.8),大乖乖 2022-09-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,474,垂直,3,烟台交通广播, ,MPEG-1,开锁, ,83,海阳朱吴镇跑马岭山顶,16QAM PN420 4/5(0.8),大乖乖 2022-09-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,474,垂直,4,烟台综合广播副频道, ,MPEG-1,开锁, ,84,海阳朱吴镇跑马岭山顶,16QAM PN420 4/5(0.8),大乖乖 2022-09-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,474,垂直,5,烟台故事广播, ,MPEG-1,开锁, ,85,海阳朱吴镇跑马岭山顶,16QAM PN420 4/5(0.8),大乖乖 2022-09-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,474,垂直,6,烟台评书广播, ,MPEG-1,开锁, ,86,海阳朱吴镇跑马岭山顶,16QAM PN420 4/5(0.8),大乖乖 2022-09-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
