index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,498, , ,广西卫视,MPEG-4, , , , , , ,[寻常寻星2016-10-02](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,498, , ,广东卫视,MPEG-4, , , , , , ,[寻常寻星2016-10-02](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,498, , ,贵州卫视,MPEG-4, , , , , , ,[寻常寻星2016-10-02](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,498, , ,江苏卫视,MPEG-4, , , , , , ,[寻常寻星2016-10-02](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,498, , ,北京卫视,MPEG-4, , , , , , ,[寻常寻星2016-10-02](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,498, , ,山东卫视,MPEG-4, , , , , , ,[寻常寻星2016-10-02](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,498, , ,安徽卫视,MPEG-4, , , , , , ,[寻常寻星2016-10-02](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,498, , ,辽宁卫视,MPEG-4, , , , , , ,[寻常寻星2016-10-02](),"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,498,水平,1,筠连一套,MPEG-4,MPEG-1,开锁,137,134,筠连发射塔,16QAM 4/5(0.8),寻星哥哥2023-12-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,498,水平,2,河南卫视,MPEG-4,MPEG-1,开锁,36,37,筠连发射塔,16QAM 4/5(0.8),寻星哥哥2023-12-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,498,水平,3,江苏卫视,MPEG-4,MPEG-1,开锁,39,40,筠连发射塔,16QAM 4/5(0.8),寻星哥哥2023-12-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,498,水平,4,深圳卫视,MPEG-4,MPEG-1,开锁,42,43,筠连发射塔,16QAM 4/5(0.8),寻星哥哥2023-12-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,498,水平,257,安徽卫视,MPEG-4,MPEG-1,开锁,46,47,筠连发射塔,16QAM 4/5(0.8),寻星哥哥2023-12-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,498,水平,258,北京卫视,MPEG-4,MPEG-1,开锁,50,51,筠连发射塔,16QAM 4/5(0.8),寻星哥哥2023-12-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,498,水平,259,云南卫视,MPEG-4,MPEG-1,开锁,54,55,筠连发射塔,16QAM 4/5(0.8),寻星哥哥2023-12-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,498,水平,260,贵州卫视,MPEG-4,MPEG-1,开锁,58,59,筠连发射塔,16QAM 4/5(0.8),寻星哥哥2023-12-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,506, , ,中央电视台综合频道,AVS+,MPEG-1,开锁,1011,1012,珙县 叙州区 江安县, ,谭俊 2024-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,506, , ,中央电视台财经频道,AVS+,MPEG-1,开锁,1021,1022,珙县 叙州区 江安县, ,谭俊 2024-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,506, , ,中央电视台中文国际频道,AVS+,MPEG-1,开锁,1031,1032,珙县 叙州区 江安县, ,谭俊 2024-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,506, , ,中央电视台国防军事频道,AVS+,MPEG-1,开锁,1041,1042,珙县 叙州区 江安县, ,谭俊 2024-02-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
