index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,179,水平, ,湖北卫视,AVS+,DRA,开锁, , ,当阳, ,eehy 2022-09-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,179,水平, ,湖北综合,AVS+,DRA,开锁, , ,当阳, ,eehy 2022-09-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,179,水平, ,湖北经视,AVS+,DRA,开锁, , ,当阳, ,eehy 2022-09-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,179,水平, ,宜昌综合,AVS+,DRA,开锁, , ,当阳, ,eehy 2022-09-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,179,水平, ,宜昌旅游生活,AVS+,DRA,开锁, , ,当阳, ,eehy 2022-09-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,179,水平, ,当阳综合,AVS+,DRA,开锁, , ,当阳, ,eehy 2022-09-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,179,水平, ,湖北垄上,AVS+,DRA,开锁, , ,当阳, ,eehy 2022-09-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,179,水平, ,湖北公共新闻,AVS+,DRA,开锁, , ,当阳, ,eehy 2022-09-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,187,水平, ,宜昌综合,AVS+,DRA,开锁,772,773,秭归县, ,浪锅的天下 2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,187,水平, ,宜昌旅游,AVS+,DRA,开锁,1025,1026,秭归县, ,浪锅的天下 2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,187,水平, ,秭归融媒,AVS+,DRA,开锁,1028,1029,秭归县, ,浪锅的天下 2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,187,水平, ,湖北卫视,AVS+,DRA,开锁,257,258,秭归县, ,浪锅的天下 2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,187,水平, ,湖北电视台,AVS+,DRA,开锁,260,261,秭归县, ,浪锅的天下 2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,187,水平, ,湖北经视,AVS+,DRA,开锁,513,514,秭归县, ,浪锅的天下 2022-09-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
