index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,490, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,宜丰, ,心上秋雨2018-12-07, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,490, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,宜丰, ,心上秋雨2018-12-07, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,490, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,宜丰, ,心上秋雨2018-12-07, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,490, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,宜丰, ,心上秋雨2018-12-07, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,490, , ,江西一套,AVS+,DRA,开锁,451,452,宜丰, ,心上秋雨2018-12-07, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,490, , ,宜春一套,AVS+,DRA,开锁,461,462,宜丰, ,心上秋雨2018-12-07, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,490, , ,宜丰一套,AVS+,DRA,开锁,471,472,宜丰, ,心上秋雨2018-12-07, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,490, , ,宜春一套,MPEG-2,MPEG-1,开锁,491,492,宜丰, ,心上秋雨2018-12-07, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,490, , ,宜丰一套,MPEG-2,MPEG-1,开锁,33,34,宜丰, ,心上秋雨2018-12-07, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,538, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,樟树, ,装甲步兵2019-02-09, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,538, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,樟树, ,装甲步兵2019-02-09, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,538, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,樟树, ,装甲步兵2019-02-09, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,538, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,樟树, ,装甲步兵2019-02-09, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,538, , ,江西一套,AVS+,DRA,开锁, , ,樟树, ,装甲步兵2019-02-09, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,538, , ,宜春一套,AVS+,DRA,开锁, , ,樟树, ,装甲步兵2019-02-09, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,538, , ,樟树电视台,AVS+,DRA,开锁, , ,樟树, ,装甲步兵2019-02-09, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,562, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,樟树, ,413112784 2018-05-06, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,562, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,樟树, ,413112784 2018-05-06, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,562, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,樟树, ,413112784 2018-05-06, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,562, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,樟树, ,413112784 2018-05-06, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,562, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,樟树, ,413112784 2018-05-06, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,562, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,樟树, ,413112784 2018-05-06, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,562, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,樟树, ,413112784 2018-05-06, ,"<span style=""background-color:#666666"">&#12288;&#12288;</span>"
