index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,539, , ,黑龙江卫视,AVS+,DRA,开锁,101,201,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,539, , ,黑龙江新闻法制,AVS+,DRA,开锁,102,202,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,539, , ,黑龙江公共农业,AVS+,DRA,开锁,103,203,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,539, , ,黑龙江少儿,AVS+,DRA,开锁,104,204,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,546, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,546, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,546, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,546, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,546, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,546, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,546, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,546, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,546, , ,中国之声, ,MPEG-1,开锁, ,730,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,546, , ,经济之声, ,MPEG-1,开锁, ,740,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,546, , ,音乐之声, ,MPEG-1,开锁, ,750,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,546, , ,经典音乐广播, ,MPEG-1,开锁, ,760,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,546, , ,台海之声, ,MPEG-1,开锁, ,770,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,546, , ,神州之声, ,MPEG-1,开锁, ,780,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,546, , ,民族之声, ,MPEG-1,开锁, ,790,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,546, , ,文艺之声, ,MPEG-1,开锁, ,800,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,546, , ,老年之声, ,MPEG-1,开锁, ,810,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,546, , ,阅读之声, ,MPEG-1,开锁, ,820,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,546, , ,中国交通广播, ,MPEG-1,开锁, ,830,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,546, , ,中国乡村之声, ,MPEG-1,开锁, ,840,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,650, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,650, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,650, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,650, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,658, , ,伊春新闻综合,AVS+,DRA,开锁,516,690,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,658, , ,伊春公共,AVS+,DRA,开锁,517,700,伊春南山, ,静享清悠 2022-07-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
