index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,察布查尔1套,MPEG-2,MPEG-1, , , ,察布查尔锡伯自治县, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,474, , ,察布查尔2套,MPEG-2,MPEG-1, , , ,察布查尔锡伯自治县, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,474, , ,察布查尔7套,MPEG-2,MPEG-1, , , ,察布查尔锡伯自治县, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,474, , ,察布查尔8套,MPEG-2,MPEG-1, , , ,察布查尔锡伯自治县, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,490, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,察布查尔锡伯自治县, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,490, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,察布查尔锡伯自治县, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,490, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,察布查尔锡伯自治县, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,490, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,察布查尔锡伯自治县, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,490, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,察布查尔锡伯自治县, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,490, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,察布查尔锡伯自治县, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,490, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,察布查尔锡伯自治县, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,490, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,察布查尔锡伯自治县, ,新乡原阳 2023-01-19,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,490, ,101,中国之声, ,MPEG-1,开锁, ,730,察布查尔锡伯自治县, ,新乡原阳 2023-01-19,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,490, ,102,经济之声, ,MPEG-1,开锁, ,740,察布查尔锡伯自治县, ,新乡原阳 2023-01-19,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,490, ,103,音乐之声, ,MPEG-1,开锁, ,750,察布查尔锡伯自治县, ,新乡原阳 2023-01-19,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,490, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,察布查尔锡伯自治县, ,新乡原阳 2023-01-19,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
