index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , ,永宁综合,MPEG-2, ,开锁, , ,永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482, , ,银川公共,MPEG-2, ,开锁, , ,永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,482, , ,银川文体,MPEG-2, ,开锁, , ,永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482, , ,银川生活,MPEG-2, ,开锁, , ,永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482, , ,宁夏公共,MPEG-2, ,开锁, , ,永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,530, , ,贺兰综合,MPEG-2, ,开锁, , ,贺兰, ,hnjiawei12 2018-06-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,530, , ,银川公共,MPEG-2, ,开锁, , ,贺兰, ,hnjiawei12 2018-06-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,530, , ,银川文体,MPEG-2, ,开锁, , ,贺兰, ,hnjiawei12 2018-06-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,530, , ,银川生活,MPEG-2, ,开锁, , ,贺兰, ,hnjiawei12 2018-06-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,538, , ,宁夏影视,MPEG-2, ,开锁,33,36,西夏区 永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,538, , ,宁夏购物,MPEG-2, ,开锁,301,302,西夏区 永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,538, , ,宁夏经济,MPEG-2, ,开锁,49,53,西夏区 永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,538, , ,导视/睛彩宁夏,MPEG-2, ,开锁,201,202,西夏区 永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,538, , ,宁夏教育,MPEG-2, ,开锁,1025,1026,西夏区 永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,538, , ,宁夏少儿,MPEG-2, ,开锁,1551,1552,西夏区 永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,546, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,西夏区 永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,546, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,西夏区 永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,546, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,西夏区 永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,546, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,西夏区 永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,546, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,西夏区 永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,546, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,西夏区 永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,546, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,西夏区 永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,546, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,西夏区 永宁县, ,南华山 2023-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,546, ,101,中国之声, ,MPEG-1,开锁, ,730,西夏区 永宁县, ,南华山 2023-10-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,546, ,102,经济之声, ,MPEG-1,开锁, ,740,西夏区 永宁县, ,南华山 2023-10-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,546, ,103,音乐之声, ,MPEG-1,开锁, ,750,西夏区 永宁县, ,南华山 2023-10-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,546, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,西夏区 永宁县, ,南华山 2023-10-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
