index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,盖州一套,MPEG-2,MPEG-1,开锁, , ,盖州,64QAM PN420 4/5(0.8),英佰 2024-03-07,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,490, ,259,大石桥新闻综合,MPEG-2,MPEG-1,开锁,267,268,大石桥电视台发射台,64QAM PN420 4/5(0.8),英佰 2023-02-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,506,垂直, ,辽宁卫视,AVS+,DRA,开锁,257,258,营口镜湖电视塔, ,wupengjuw 2020-06-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,506,垂直, ,辽宁都市,AVS+,DRA,开锁,260,261,营口镜湖电视塔, ,wupengjuw 2020-06-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,506,垂直, ,辽宁电视剧,AVS+,DRA,开锁,513,514,营口镜湖电视塔, ,wupengjuw 2020-06-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,506,垂直, ,宜佳购物,AVS+,DRA,开锁,516,517,营口镜湖电视塔, ,wupengjuw 2020-06-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,506,垂直, ,辽宁体育,AVS+,DRA,开锁,769,770,营口镜湖电视塔, ,wupengjuw 2020-06-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,506,垂直, ,辽宁生活,AVS+,DRA,开锁,772,773,营口镜湖电视塔, ,wupengjuw 2020-06-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,506,垂直, ,辽宁北方,AVS+,DRA,开锁,1025,1026,营口镜湖电视塔, ,wupengjuw 2020-06-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,506,垂直, ,辽宁教育·青少,AVS+,DRA,开锁,1028,1029,营口镜湖电视塔, ,wupengjuw 2020-06-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,514,垂直, ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,514,垂直, ,中央电视台经济频道,AVS+,DRA,开锁,513,660,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,514,垂直, ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,514,垂直, ,中央电视台科教频道,AVS+,DRA,开锁,515,680,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,514,垂直, ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,514,垂直, ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,514,垂直, ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,514,垂直, ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,514,垂直, ,中国之声, , ,开锁, ,730,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,514,垂直, ,经济之声, , ,开锁, ,740,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,514,垂直, ,音乐之声, , ,开锁, ,750,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,514,垂直, ,经典音乐广播, , ,开锁, ,760,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,514,垂直, ,台海之声, , ,开锁, ,770,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,514,垂直, ,神州之声, , ,开锁, ,780,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,514,垂直, ,民族之声, , ,开锁, ,790,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,514,垂直, ,文艺之声, , ,开锁, ,800,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,514,垂直, ,老年之声, , ,开锁, ,810,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,514,垂直, ,阅读之声, , ,开锁, ,820,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,514,垂直, ,中国交通广播, , ,开锁, ,830,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,514,垂直, ,中国乡村之声, , ,开锁, ,840,镜湖, ,wupengjuw 2022-07-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,634,垂直, ,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,营口镜湖电视塔, ,wupengjuw 2022-07-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
31,634,垂直, ,中央电视台纪录频道,AVS+,DRA,NDS,513,660,营口镜湖电视塔, ,wupengjuw 2022-07-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
32,634,垂直, ,中央电视台戏曲频道,AVS+,DRA,NDS,514,670,营口镜湖电视塔, ,wupengjuw 2022-07-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,634,垂直, ,中国环球电视网新闻频道,AVS+,DRA,NDS,515,680,营口镜湖电视塔, ,wupengjuw 2022-07-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,634,垂直, ,营口新闻综合频道,AVS+,DRA,开锁,35,36,营口镜湖电视塔, ,wupengjuw 2022-07-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,634,垂直, ,营口公共,AVS+,DRA,开锁,517,516,营口镜湖电视塔, ,wupengjuw 2022-07-18,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,642,垂直, ,中央电视台中文国际频道,MPEG-4,MPEG-1, ,259,260,鲅鱼圈或是九寨的省301转播台, ,英佰 2023-08-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,642,垂直, ,中央电视台科教频道,MPEG-4,MPEG-1, ,515,516,鲅鱼圈或是九寨的省301转播台, ,英佰 2023-08-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,642,垂直, ,中央电视台戏曲频道,MPEG-4,MPEG-1, ,1027,1028,鲅鱼圈或是九寨的省301转播台, ,英佰 2023-08-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,642,垂直, ,中央电视台社会与法频道,MPEG-4,MPEG-1, ,771,772,鲅鱼圈或是九寨的省301转播台, ,英佰 2023-08-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,642,垂直, ,中央电视台音乐频道,MPEG-4,MPEG-1, ,263,264,鲅鱼圈或是九寨的省301转播台, ,英佰 2023-08-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,642,垂直, ,中国教育电视一套,MPEG-4,MPEG-1, ,519,520,鲅鱼圈或是九寨的省301转播台, ,英佰 2023-08-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,642,垂直, ,辽宁影视,MPEG-4,MPEG-1, ,775,776,鲅鱼圈或是九寨的省301转播台, ,英佰 2023-08-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
43,642,垂直, ,辽宁都市,MPEG-4,MPEG-1, ,1031,1032,鲅鱼圈或是九寨的省301转播台, ,英佰 2023-08-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
44,642,垂直, ,河南卫视,MPEG-4,MPEG-1, ,267,268,鲅鱼圈或是九寨的省301转播台, ,英佰 2023-08-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
45,642,垂直, ,湖南卫视,MPEG-4,MPEG-1, ,271,272,鲅鱼圈或是九寨的省301转播台, ,英佰 2023-08-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
46,642,垂直, ,上海东方卫视,MPEG-4,MPEG-1, ,523,524,鲅鱼圈或是九寨的省301转播台, ,英佰 2023-08-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
47,642,垂直, ,炫动卡通,MPEG-4,MPEG-1, ,527,528,鲅鱼圈或是九寨的省301转播台, ,英佰 2023-08-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
48,642,垂直, ,江苏卫视,MPEG-4,MPEG-1, ,779,780,鲅鱼圈或是九寨的省301转播台, ,英佰 2023-08-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
49,642,垂直, ,福建东南卫视,MPEG-4,MPEG-1, ,783,784,鲅鱼圈或是九寨的省301转播台, ,英佰 2023-08-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
50,642,垂直, ,吉林卫视,MPEG-4,MPEG-1,开锁,1035,1036,鲅鱼圈或是九寨的省301转播台, ,英佰 2023-08-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
51,650,垂直, ,中央电视台综合频道,MPEG-4,MPEG-1, ,515,516, , ,英佰 2023-08-07,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
