index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,770, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,鹰潭市电视发射塔, ,余江寻星者 2018-04-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,770, , ,中央电视台经济频道,AVS+,DRA,开锁,513,660,鹰潭市电视发射塔, ,余江寻星者 2018-04-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,770, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,鹰潭市电视发射塔, ,余江寻星者 2018-04-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,770, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,鹰潭市电视发射塔, ,余江寻星者 2018-04-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,770, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,鹰潭市电视发射塔, ,余江寻星者 2018-04-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,770, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,鹰潭市电视发射塔, ,余江寻星者 2018-04-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,770, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,鹰潭市电视发射塔, ,余江寻星者 2018-04-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,770, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,鹰潭市电视发射塔, ,余江寻星者 2018-04-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,794, , ,中央电视台军事农业频道,AVS+,DRA,开锁,512,650,鹰潭市电视发射塔, ,余江寻星者 2018-04-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,794, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,鹰潭市电视发射塔, ,余江寻星者 2018-04-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,794, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,鹰潭市电视发射塔, ,余江寻星者 2018-04-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,794, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,鹰潭市电视发射塔, ,余江寻星者 2018-04-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,794, , ,江西卫视,AVS+,DRA,开锁,471,472,鹰潭市电视发射塔, ,余江寻星者 2018-04-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,794, , ,鹰潭一套,AVS+,DRA,开锁,51,52,鹰潭市电视发射塔, ,余江寻星者 2018-04-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,794, , ,鹰潭二套,AVS+,DRA,开锁,516,517,鹰潭市电视发射塔, ,余江寻星者 2018-04-29, ,"<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
