index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,498,垂直, ,山东卫视,HEVC,AAC,Cryptoworks,119,125,南县 南仙电视转播, ,华容小禹 2020-05-08,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,498,垂直, ,浙江卫视,HEVC,AAC,Cryptoworks,126,132,南县 南仙电视转播, ,华容小禹 2020-05-08,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,498,垂直, ,江苏卫视,HEVC,AAC,Cryptoworks,98,104,南县 南仙电视转播, ,华容小禹 2020-05-08,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,498,垂直, ,天津卫视,HEVC,AAC,Cryptoworks,280,281,南县 南仙电视转播, ,华容小禹 2020-05-08,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,498,垂直, ,福建东南卫视,HEVC,AAC,Cryptoworks,56,62,南县 南仙电视转播, ,华容小禹 2020-05-08,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,498,垂直, ,北京卫视,HEVC,AAC,Cryptoworks,133,139,南县 南仙电视转播, ,华容小禹 2020-05-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,498,垂直, ,上海东方卫视,HEVC,AAC,Cryptoworks,63,69,南县 南仙电视转播, ,华容小禹 2020-05-08,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,498,垂直, ,兵团卫视,HEVC,AAC,Cryptoworks,70,76,南县 南仙电视转播, ,华容小禹 2020-05-08,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,498,垂直, ,湖北卫视,HEVC,AAC,Cryptoworks,140,146,南县 南仙电视转播, ,华容小禹 2020-05-08,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,498,垂直, ,河南卫视,HEVC,AAC,Cryptoworks,147,153,南县 南仙电视转播, ,华容小禹 2020-05-08,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,498,垂直, ,金鹰卡通,HEVC,AAC,Cryptoworks,77,83,南县 南仙电视转播, ,华容小禹 2020-05-08,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,498,垂直, ,炫动卡通,HEVC,AAC,Cryptoworks,84,90,南县 南仙电视转播, ,华容小禹 2020-05-08,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,498,垂直, ,深圳卫视,HEVC,AAC,Cryptoworks,91,97,南县 南仙电视转播, ,华容小禹 2020-05-08,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,498,垂直, ,阳光卫视,HEVC,AAC,Cryptoworks,105,111,南县 南仙电视转播, ,华容小禹 2020-05-08,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
