index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,[中央电视台综合频道](http://www.cctv.com/),AVS+,DRA,开锁,512,650,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,474, , ,[中央电视台财经频道](http://www.cctv.com/),AVS+,DRA,开锁,513,660,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,474, , ,[中央电视台中文国际频道](http://www.cctv.com/),AVS+,DRA,开锁,514,670,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,474, , ,[中央电视台科教频道](http://www.cctv.com/),AVS+,DRA,开锁,515,680,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,474, , ,[中央电视台社会与法频道](http://www.cctv.com/),AVS+,DRA,开锁,516,690,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,474, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,474, , ,[中央电视台少儿频道](http://www.cctv.com),AVS+,DRA,开锁,518,710,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,474, , ,[中央电视台音乐频道](http://www.cctv.com),AVS+,DRA,开锁,519,720,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,482,水平, ,湖南卫视高清频道,AVS+,MPEG-1,开锁,101,102,江永铜山岭, ,haijk2007 2018-06-21,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,482,水平, ,湖南经视高清频道,AVS+,MPEG-1,开锁,111,112,江永铜山岭, ,haijk2007 2018-06-21,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,482,水平, ,湖南都市,AVS+,MPEG-1,开锁,121,122,江永铜山岭, ,haijk2007 2018-06-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,482,水平, ,湖南电视剧,AVS+,MPEG-1,开锁,131,132,江永铜山岭, ,haijk2007 2018-06-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,482,水平, ,湖南娱乐,AVS+,MPEG-1,开锁,141,142,江永铜山岭, ,haijk2007 2018-06-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,482,水平, ,金鹰卡通,AVS+,MPEG-1,开锁,151,152,江永铜山岭, ,haijk2007 2018-06-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,482,水平, ,中央电视台综合频道,AVS+,MPEG-1,开锁,301,302,江永铜山岭, ,haijk2007 2018-06-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,482,水平, ,中央电视台新闻频道,AVS+,MPEG-1,开锁,371,372,江永铜山岭, ,haijk2007 2018-06-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,482,水平, ,湖南时尚购物,AVS+,MPEG-1,开锁,521,522,江永铜山岭, ,haijk2007 2018-06-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,482,水平, ,[中央电视台农业农村频道](http://www.cctv.com),AVS+,DRA,开锁,512,650,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,482,水平, ,[中央电视台纪录频道](http://www.cctv.com),AVS+,DRA,开锁,513,660,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,482,水平, ,[中央电视台戏曲频道](http://www.cctv.com),AVS+,DRA,开锁,514,670,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,482,水平, ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,482,水平, ,湖南卫视,AVS+,DRA,开锁,51,52,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,482,水平, ,湖南经视,AVS+,DRA,开锁,770,1026,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,482,水平, ,湖南都市,AVS+,DRA,开锁,1025,53,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,482,水平, ,湖南娱乐,AVS+,DRA,开锁,1540,1541,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,482,水平, ,湖南电视剧,AVS+,DRA,开锁,1537,1538,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,482,水平, ,永州新闻综合,AVS+,MPEG-1,开锁,55,56,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,482,水平, ,新田综合,AVS+,DRA,开锁,1281,1282,新田, ,haijk2007 2018-09-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,498,水平, ,湖南卫视高清频道,AVS+,MPEG-1,开锁,101,102,祁阳县大华山, ,chenhai jun6317 2017-11-30,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,498,水平, ,湖南经视高清频道,AVS+,MPEG-1,开锁,111,112,祁阳县大华山, ,chenhai jun6317 2017-11-30,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
