index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , ,汨罗新闻综合,AVS+,DRA,开锁,253,254,汨罗岳峰尖, ,拐角处 2022-06-04,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,482, , ,汨罗戏曲频道,AVS+,DRA,开锁,378,379,汨罗岳峰尖, ,拐角处 2022-06-04,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,498, ,1100,岳阳新闻综合,MPEG-4,MPEG-2,开锁,1101,1102,金鹗山,4QAM PN595 4/5(0.8),湘岳地面锅2023-11-22,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,498, , ,岳阳新闻广播, ,MPEG-1,开锁, , ,金鹗山,4QAM PN595 4/5(0.8),湘岳地面锅2023-11-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,498, , ,岳阳交通广播, ,MPEG-1,开锁, , ,金鹗山,4QAM PN595 4/5(0.8),湘岳地面锅2023-11-22,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,506,水平,400,湖南娱乐,AVS+,MPEG-1,开锁,401,402,岳阳达摩岭,16QAM PN420 4/5(0.8),火星无线电 2022-05-17,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,506,水平,500,湖南电视剧,AVS+,MPEG-1,开锁,501,502,岳阳达摩岭,16QAM PN420 4/5(0.8),火星无线电 2022-05-17,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,506,水平,600,金鹰卡通,AVS+,MPEG-1,开锁,601,602,岳阳达摩岭,16QAM PN420 4/5(0.8),火星无线电 2022-05-17,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,506,水平,700,湖南电影,AVS+,MPEG-1,开锁,701,702,岳阳达摩岭,16QAM PN420 4/5(0.8),火星无线电 2022-05-17,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,506,水平, ,湖南卫视,MPEG-4,MPEG-2, ,264,265,岳阳县鹰咀山, ,旭初东方2023-10-11,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,506,水平, ,金鹰卡通,MPEG-4,MPEG-2, ,266,267,岳阳县鹰咀山, ,旭初东方2023-10-11,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,506,水平, ,上海东方卫视,MPEG-4,MPEG-2, ,268,269,岳阳县鹰咀山, ,旭初东方2023-10-11,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,506,水平, ,江苏卫视,MPEG-4,MPEG-2, ,270,271,岳阳县鹰咀山, ,旭初东方2023-10-11,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,506,水平, ,贵州卫视,MPEG-4,MPEG-2, ,272,273,岳阳县鹰咀山, ,旭初东方2023-10-11,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,506,水平, ,湖北卫视,MPEG-4,MPEG-2, ,274,275,岳阳县鹰咀山, ,旭初东方2023-10-11,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,506,水平, ,广东卫视,MPEG-4,MPEG-2, ,276,277,岳阳县鹰咀山, ,旭初东方2023-10-11,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,506,水平, ,广西卫视,MPEG-4,MPEG-2, ,278,279,岳阳县鹰咀山, ,旭初东方2023-10-11,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,506,水平, ,青海卫视,MPEG-4,MPEG-2, ,516,517,岳阳县鹰咀山, ,旭初东方2023-10-11,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,506,水平, ,北京卫视,MPEG-4,MPEG-2, ,518,519,岳阳县鹰咀山, ,旭初东方2023-10-11,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,506,水平, ,天津卫视,MPEG-4,MPEG-2, ,520,521,岳阳县鹰咀山, ,旭初东方2023-10-11,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,506,水平, ,重庆卫视,MPEG-4,MPEG-2, ,522,523,岳阳县鹰咀山, ,旭初东方2023-10-11,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,514,垂直, ,中央电视台综合频道,MPEG-4,MPEG-2, ,264,265,岳阳县鹰咀山, ,拐角处 2021-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,514,垂直, ,中央电视台财经频道,MPEG-4,MPEG-2, ,266,267,岳阳县鹰咀山, ,拐角处 2021-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,514,垂直, ,中央电视台中文国际频道,MPEG-4,MPEG-2, ,268,269,岳阳县鹰咀山, ,拐角处 2021-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,514,垂直, ,中央电视台农业农村频道,MPEG-4,MPEG-2, ,270,271,岳阳县鹰咀山, ,拐角处 2021-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,514,垂直, ,中央电视台纪录频道,MPEG-4,MPEG-2, ,272,273,岳阳县鹰咀山, ,拐角处 2021-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,514,垂直, ,中央电视台科教频道,MPEG-4,MPEG-2, ,274,275,岳阳县鹰咀山, ,拐角处 2021-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,514,垂直, ,中央电视台戏曲频道,MPEG-4,MPEG-2, ,276,277,岳阳县鹰咀山, ,拐角处 2021-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,514,垂直, ,中央电视台社会与法频道,MPEG-4,MPEG-2, ,278,279,岳阳县鹰咀山, ,拐角处 2021-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,514,垂直, ,中央电视台新闻频道,MPEG-4,MPEG-2, ,516,517,岳阳县鹰咀山, ,拐角处 2021-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,514,垂直, ,中央电视台少儿频道,MPEG-4,MPEG-2, ,518,519,岳阳县鹰咀山, ,拐角处 2021-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
31,514,垂直, ,中央电视台音乐频道,MPEG-4,MPEG-2, ,520,521,岳阳县鹰咀山, ,拐角处 2021-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
32,514,垂直, ,中国教育电视一台,MPEG-4,MPEG-2, ,522,523,岳阳县鹰咀山, ,拐角处 2021-01-10,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,522, ,100,湖南卫视,AVS+,DRA,开锁,101,102,金鹗山 岳阳县鹰咀山 华容禹山 临湘五尖山,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,522, , ,湖南经视,AVS+,DRA,开锁, , ,金鹗山 岳阳县鹰咀山 华容禹山 临湘五尖山,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,522, , ,湖南都市,AVS+,DRA,开锁, , ,金鹗山 岳阳县鹰咀山 华容禹山 临湘五尖山,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,522, , ,湖南娱乐,AVS+,DRA,开锁, , ,金鹗山 岳阳县鹰咀山 华容禹山 临湘五尖山,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,522, , ,湖南电视剧,AVS+,DRA,开锁, , ,金鹗山 岳阳县鹰咀山 华容禹山 临湘五尖山,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,522, , ,金鹰纪实,AVS+,DRA,开锁, , ,金鹗山 岳阳县鹰咀山 华容禹山 临湘五尖山,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,522, , ,金鹰卡通,AVS+,DRA,开锁, , ,金鹗山 岳阳县鹰咀山 华容禹山 临湘五尖山,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
40,522, , ,湖南爱晚,AVS+,DRA,开锁, , ,金鹗山 岳阳县鹰咀山 华容禹山 临湘五尖山,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
41,522, , ,湖南教育,AVS+,DRA,开锁, , ,金鹗山 岳阳县鹰咀山 华容禹山 临湘五尖山,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
42,522, , ,湖南电影,AVS+,DRA,开锁, , ,金鹗山 岳阳县鹰咀山 华容禹山 临湘五尖山,16QAM PN945 4/5(0.8),火星无线电 2022-12-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
