index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482,垂直, ,榆林一套,MPEG-4,MPEG-1,开锁,87,88,神木市,64QAM PN420 3/5(0.6),亚洲波束2024-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482,垂直, ,榆林二套,MPEG-4,MPEG-1,开锁,90,91,神木市,64QAM PN420 3/5(0.6),亚洲波束2024-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,482,垂直, ,陕西四套（影视),MPEG-4,MPEG-1,开锁,81,82,神木市,64QAM PN420 3/5(0.6),亚洲波束2024-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482,垂直, ,陕西五套（公共）,MPEG-4,MPEG-1,开锁,84,85,神木市,64QAM PN420 3/5(0.6),亚洲波束2024-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482,垂直, ,陕西新闻资讯,MPEG-4,MPEG-1,开锁,78,79,神木市,64QAM PN420 3/5(0.6),亚洲波束2024-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,482,垂直, ,中央电视台体育频道,MPEG-4,MPEG-1,开锁,102,103,神木市,64QAM PN420 3/5(0.6),亚洲波束2024-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,482,垂直, ,神木一套,MPEG-4,MPEG-1,开锁, , ,神木市,64QAM PN420 3/5(0.6),亚洲波束2024-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,482,垂直, ,神东一套,MPEG-4,MPEG-1,开锁,98,99,神木市,64QAM PN420 3/5(0.6),亚洲波束2024-03-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,482,垂直, ,榆林新闻综合广播, ,MPEG-1,开锁, ,113,神木市,64QAM PN420 3/5(0.6),亚洲波束2024-03-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,482,垂直, ,榆林交通文艺广播, ,MPEG-1,开锁, ,115,神木市,64QAM PN420 3/5(0.6),亚洲波束2024-03-11,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
