index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,171, , ,广西卫视,AVS+,DRA,开锁, , ,容县三片石, ,白子画 2022-12-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,171, , ,广西新闻,AVS+,DRA,开锁, , ,容县三片石, ,白子画 2022-12-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,171, , ,玉林新闻综合,AVS+,DRA,开锁, , ,容县三片石, ,白子画 2022-12-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,171, , ,容县综合,AVS+,DRA,开锁, , ,容县三片石, ,白子画 2022-12-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,203, , ,广西卫视,AVS+,DRA,开锁, , ,兴业, ,卫视中文 2023-05-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,203, , ,广西新闻,AVS+,DRA,开锁, , ,兴业, ,卫视中文 2023-05-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,203, , ,玉林新闻综合,AVS+,DRA,开锁, , ,兴业, ,卫视中文 2023-05-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,203, , ,兴业综合,AVS+,DRA,开锁, , ,兴业, ,卫视中文 2023-05-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,474, , ,广西卫视,AVS+,DRA,开锁, , ,博白, ,天使的神话2023-02-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,474, , ,广西新闻,AVS+,DRA,开锁, , ,博白, ,天使的神话2023-02-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,474, , ,玉林新闻综合,AVS+,DRA,开锁, , ,博白, ,天使的神话2023-02-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,474, , ,博白综合,AVS+,DRA,开锁, , ,博白, ,天使的神话2023-02-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,490, , ,广西卫视,AVS+,DRA,开锁, , ,陆川, ,卫视中文2023-02-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,490, , ,广西新闻,AVS+,DRA,开锁, , ,陆川, ,卫视中文2023-02-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
