index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650, , ,WGP0359 2017-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,474, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660, , ,WGP0359 2017-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,474, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670, , ,WGP0359 2017-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,474, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680, , ,WGP0359 2017-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,474, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690, , ,WGP0359 2017-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,474, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700, , ,WGP0359 2017-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,474, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710, , ,WGP0359 2017-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,474, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720, , ,WGP0359 2017-11-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,490,垂直, ,中央电视台综合频道,AVS+,DRA,开锁,80,81,永济, ,亚洲波束 2021-09-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,490,垂直, ,中央电视台财经频道,AVS+,DRA,（7002）,82,83,永济, ,亚洲波束 2021-09-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,490,垂直, ,中央电视台科教频道,AVS+,DRA,（7002）,84,85,永济, ,亚洲波束 2021-09-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,490,垂直, ,中央电视台社会与法频道,AVS+,DRA,（7002）,86,87,永济, ,亚洲波束 2021-09-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,490,垂直, ,中央电视台综艺频道,AVS+,DRA,（7002）,88,89,永济, ,亚洲波束 2021-09-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,490,垂直, ,中央电视台体育频道,AVS+,DRA,（7002）,96,97,永济, ,亚洲波束 2021-09-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,490,垂直, ,中央电视台电影频道,AVS+,DRA,（7002）,98,99,永济, ,亚洲波束 2021-09-13,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
