index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,187, , ,广东珠江,MPEG-2,MPEG-2,开锁, , ,郁南县, ,白子画 2023-01-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,187, , ,广东公共,MPEG-2,MPEG-2,开锁, , ,郁南县, ,白子画 2023-01-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,187, , ,广东经济科教（TVS1）,MPEG-2,MPEG-2,开锁, , ,郁南县, ,白子画 2023-01-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,187, , ,广东公共,MPEG-2,MPEG-2,开锁, , ,郁南县, ,白子画 2023-01-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,187, , ,云浮综合,MPEG-2,MPEG-2,开锁, , ,郁南县, ,白子画 2023-01-27,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,219,水平,12,广东珠江,MPEG-2,MPEG-2,开锁,769,770,罗定云桂山发射塔, ,非鱼知鱼 2022-10-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,219,水平,14,罗定电视台(广东公共）,MPEG-2,MPEG-2,开锁,51,52,罗定云桂山发射塔, ,非鱼知鱼 2022-10-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,219,水平,17,广东经济科教（TVS1）,MPEG-2,MPEG-2,开锁,2211,2212,罗定云桂山发射塔, ,非鱼知鱼 2022-10-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,219,水平,103,广东体育,MPEG-2,MPEG-2,开锁,1031,1032,罗定云桂山发射塔, ,非鱼知鱼 2022-10-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,219,水平,8195,云浮综合,MPEG-2,MPEG-2,开锁,356,150,罗定云桂山发射塔, ,非鱼知鱼 2022-10-29,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,474,垂直, ,广东体育,MPEG-2,DRA,开锁,5001,5002,新兴县, ,dxhdtv 2022-08-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,474,垂直, ,广东珠江,MPEG-2,DRA,开锁,5003,5004,新兴县, ,dxhdtv 2022-08-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,474,垂直, ,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5005,5006,新兴县, ,dxhdtv 2022-08-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,474,垂直, ,云浮综合,MPEG-2,DRA,开锁,5007,5008,新兴县, ,dxhdtv 2022-08-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,474,垂直, ,广东公共,MPEG-2,DRA,开锁,5009,5010,新兴县, ,dxhdtv 2022-08-20,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,474,垂直, ,新兴广播, , , , , ,新兴县, ,dxhdtv 2022-08-20,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,514,垂直,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,514,垂直,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,514,垂直,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,514,垂直,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,514,垂直,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,514,垂直,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,514,垂直,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,514,垂直,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,514,垂直,101,中国之声, ,MPEG-1,开锁, ,730,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,514,垂直,102,经济之声, ,MPEG-1,开锁, ,740,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,514,垂直,103,音乐之声, ,MPEG-1,开锁, ,750,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,514,垂直,104,经典音乐广播, ,MPEG-1,开锁, ,760,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,514,垂直,105,台海之声, ,MPEG-1,开锁, ,770,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,514,垂直,106,神州之声, ,MPEG-1,开锁, ,780,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,514,垂直,108,民族之声, ,MPEG-1,开锁, ,790,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,514,垂直,109,文艺之声, ,MPEG-1,开锁, ,800,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,514,垂直,110,老年之声, ,MPEG-1,开锁, ,810,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,514,垂直,112,阅读之声, ,MPEG-1,开锁, ,820,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,514,垂直,115,中国交通广播, ,MPEG-1,开锁, ,830,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,514,垂直,116,中国乡村之声, ,MPEG-1,开锁, ,840,新兴县 罗定云桂山发射塔 云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,666,垂直, ,广东体育,MPEG-2,DRA,开锁,5001,5002,云浮大绀山发射塔, ,lck88lck 2022-09-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,666,垂直, ,广东珠江,MPEG-2,DRA,开锁,5003,5004,云浮大绀山发射塔, ,lck88lck 2022-09-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,666,垂直, ,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5005,5006,云浮大绀山发射塔, ,lck88lck 2022-09-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,666,垂直, ,云浮综合,MPEG-2,DRA,开锁,5007,5008,云浮大绀山发射塔, ,lck88lck 2022-09-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,666,垂直, ,广东新闻,MPEG-2,DRA,开锁,5009,5010,云浮大绀山发射塔, ,lck88lck 2022-09-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,674,水平,401,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,郁南县,4QAM 4/5(0.8),天使的神话2023-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,674,水平,402,中央电视台纪录频道,AVS+,DRA,NDS,513,660,郁南县,4QAM 4/5(0.8),天使的神话2023-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,674,水平,403,中央电视台戏曲频道,AVS+,DRA,NDS,514,670,郁南县,4QAM 4/5(0.8),天使的神话2023-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,674,水平,404,中国环球电视网新闻频道,AVS+,DRA,NDS,515,680,郁南县,4QAM 4/5(0.8),天使的神话2023-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
45,674,水平,401,中央电视台农业农村频道,AVS+,DRA,NDS,512,650,云浮大绀山发射塔, ,白子画 2022-10-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
