index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,498, , ,云南卫视,AVS+,DRA,开锁, , ,澄江, ,413112784 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,498, , ,云南公共,AVS+,DRA,开锁, , ,澄江, ,413112784 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,498, , ,云南娱乐,AVS+,DRA,开锁, , ,澄江, ,413112784 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,498, , ,云南都市,AVS+,DRA,开锁, , ,澄江, ,413112784 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,498, , ,云南移动电视,AVS+,DRA,开锁, , ,澄江, ,413112784 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,498, , ,玉溪一套,AVS+,DRA,开锁, , ,澄江, ,413112784 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,498, , ,玉溪二套,AVS+,DRA,开锁, , ,澄江, ,413112784 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,498, , ,澄江电视台,AVS+,DRA,开锁, , ,澄江, ,413112784 2023-07-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,498, , ,玉溪交通旅游广播, , , , , ,澄江, ,413112784 2023-07-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,498, , ,玉溪新闻综合广播, , , , , ,澄江, ,413112784 2023-07-24,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,522, , ,玉溪一套,MPEG-2,MPEG-1,开锁,48,49,红塔区 五脑山, ,玉溪-红塔山人 2022-06-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,522, , ,玉溪二套,MPEG-2,MPEG-1,开锁,64,65,红塔区 五脑山, ,玉溪-红塔山人 2022-06-02,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
