index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,554,垂直,10001,山东卫视,AVS+,DRA,开锁,4113,4114,山亭, ,略懂 2022-09-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,554,垂直,10003,山东新闻,AVS+,DRA,开锁,4145,4146,山亭, ,略懂 2022-09-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,554,垂直,10004,山东农科,AVS+,DRA,开锁,4162,4163,山亭, ,略懂 2022-09-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,554,垂直,10005,山东生活,AVS+,DRA,开锁,4177,4178,山亭, ,略懂 2022-09-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,554,垂直,10006,山东综艺,AVS+,DRA,开锁,4193,4194,山亭, ,略懂 2022-09-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,554,垂直,10007,山东文旅,AVS+,DRA,开锁,4209,4210,山亭, ,略懂 2022-09-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,554,垂直,10008,山东体育,AVS+,DRA,开锁,4225,4226,山亭, ,略懂 2022-09-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,554,垂直,10009,山东少儿,AVS+,DRA,开锁,4241,4242,山亭, ,略懂 2022-09-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,562,垂直,301,中央电视台综合频道,AVS+,DRA,开锁,512,650,山亭, ,略懂 2024-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,562,垂直,302,中央电视台财经频道,AVS+,DRA,开锁,513,660,山亭, ,略懂 2024-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,562,垂直,303,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,山亭, ,略懂 2024-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,562,垂直,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,山亭, ,略懂 2024-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,562,垂直,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,山亭, ,略懂 2024-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,562,垂直,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,山亭, ,略懂 2024-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,562,垂直,307,中央电视台少儿频道,AVS+,DRA,开锁,518,710,山亭, ,略懂 2024-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,562,垂直,308,中央电视台音乐频道,AVS+,DRA,开锁,519,720,山亭, ,略懂 2024-01-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
