index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474,水平, ,湖南卫视高清频道,AVS+,MPEG-2,开锁,101,102,永定区 西溪坪, ,华容小禹 2019-06-24,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,474,水平, ,湖南经视高清频道,AVS+,MPEG-2,开锁,111,112,永定区 西溪坪, ,华容小禹 2019-06-24,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,474,水平, ,湖南都市,AVS+,MPEG-2,开锁,121,122,永定区 西溪坪, ,华容小禹 2019-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,474,水平, ,湖南电视剧,AVS+,MPEG-2,开锁,131,132,永定区 西溪坪, ,华容小禹 2019-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,474,水平, ,湖南娱乐,AVS+,MPEG-2,开锁,141,142,永定区 西溪坪, ,华容小禹 2019-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,474,水平, ,金鹰卡通,AVS+,MPEG-2,开锁,151,152,永定区 西溪坪, ,华容小禹 2019-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,474,水平, ,中央电视台综合频道,AVS+,MPEG-2,开锁,301,302,永定区 西溪坪, ,华容小禹 2019-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,474,水平, ,中央电视台新闻频道,AVS+,MPEG-2,开锁,371,372,永定区 西溪坪, ,华容小禹 2019-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,474,水平, ,湖南时尚,AVS+,MPEG-2,开锁, , ,永定区 西溪坪, ,华容小禹 2019-06-24,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,522, ,100,湖南卫视,AVS+,DRA,开锁,101,102,市区, ,广济之烨熠2023-10-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
