index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,203, , ,怀来综合,AVS+,DRA,开锁, , ,怀来, ,sunzhe1234 2023-11-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,蔚县, ,蔚州无线数字电视 2022-04-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,482, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,蔚县, ,蔚州无线数字电视 2022-04-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,蔚县, ,蔚州无线数字电视 2022-04-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482, , ,中央电视台科教频道,AVS+,DRA,开锁,515,680,蔚县, ,蔚州无线数字电视 2022-04-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,482, , ,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,蔚县, ,蔚州无线数字电视 2022-04-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,482, , ,中央电视台新闻频道,AVS+,DRA,开锁,517,700,蔚县, ,蔚州无线数字电视 2022-04-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,482, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,蔚县, ,蔚州无线数字电视 2022-04-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,482, , ,中央电视台音乐频道,AVS+,DRA,开锁,519,720,蔚县, ,蔚州无线数字电视 2022-04-12,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,538, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区 逐鹿, ,华北无名 2024-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,538, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区 逐鹿, ,华北无名 2024-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,538, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区 逐鹿, ,华北无名 2024-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,538, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区 逐鹿, ,华北无名 2024-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,538, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区 逐鹿, ,华北无名 2024-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,538, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,市区 逐鹿, ,华北无名 2024-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,538, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,市区 逐鹿, ,华北无名 2024-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,538, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,市区 逐鹿, ,华北无名 2024-01-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,538, ,101,中国之声, ,MPEG-1,开锁, ,730,市区 逐鹿, ,华北无名 2024-01-14,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,538, ,102,经济之声, ,MPEG-1,开锁, ,740,市区 逐鹿, ,华北无名 2024-01-14,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,538, ,103,音乐之声, ,MPEG-1,开锁, ,750,市区 逐鹿, ,华北无名 2024-01-14,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,538, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,市区 逐鹿, ,华北无名 2024-01-14,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
