index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,195, , ,广东体育,MPEG-2,AAC, , , ,遂溪县, ,HD1993 2022-11-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,195, , ,广东珠江,MPEG-2,AAC, , , ,遂溪县, ,HD1993 2022-11-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,195, , ,广东经济科教（TVS1）,MPEG-2,DRA, , , ,遂溪县, ,HD1993 2022-11-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,195, , ,湛江新闻综合,MPEG-2,MPEG-1, , , ,遂溪县, ,HD1993 2022-11-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,195, , ,遂溪电视台,MPEG-2,MPEG-1, , , ,遂溪县, ,HD1993 2022-11-06,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,203, , ,广东体育,MPEG-2,DRA,开锁,5001,5002,吴川, ,寻乌乡村2022-10-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,203, , ,广东珠江,MPEG-2,DRA,开锁,5003,5004,吴川, ,寻乌乡村2022-10-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,203, , ,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5005,5006,吴川, ,寻乌乡村2022-10-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,203, , ,湛江新闻综合,MPEG-2,DRA,开锁,5007,5008,吴川, ,寻乌乡村2022-10-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,203, , ,吴川电视台,AVS+,DRA,开锁,5009,5010,吴川, ,寻乌乡村2022-10-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,490,垂直, ,广东体育,AVS+,DRA,开锁, , ,湛江霞山, ,lulongchao 2022-07-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,490,垂直, ,广东珠江,AVS+,DRA,开锁, , ,湛江霞山, ,lulongchao 2022-07-22,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
