index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,187,水平, ,广东体育,MPEG-2,DRA,开锁,5001,5002,广宁县,64QAM 3/5(0.6),lck88lck 2022-09-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,187,水平, ,广东珠江,MPEG-2,DRA,开锁,5003,5004,广宁县,64QAM 3/5(0.6),lck88lck 2022-09-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,187,水平, ,广东经济科教（TVS1）,MPEG-2,DRA,开锁,5005,5006,广宁县,64QAM 3/5(0.6),lck88lck 2022-09-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,187,水平, ,肇庆综合,MPEG-2,DRA,开锁,5007,5008,广宁县,64QAM 3/5(0.6),lck88lck 2022-09-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,187,水平, ,广宁综合,MPEG-2,DRA,开锁,5009,5010,广宁县,64QAM 3/5(0.6),lck88lck 2022-09-03,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,203,水平, ,广东体育,MPEG-2,DRA,开锁,5001,5002,德庆 香山, ,jijxiang 2022-10-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,203,水平, ,广东珠江,MPEG-2,DRA,开锁,5003,5004,德庆 香山, ,jijxiang 2022-10-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,203,水平, ,【德庆台 黑屏】,MPEG-2,DRA,开锁,5008,5008,德庆 香山, ,jijxiang 2022-10-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,203,水平, ,【广东经济科教（TVS1） 黑屏】,MPEG-2,DRA,开锁,97,100,德庆 香山, ,jijxiang 2022-10-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,203,水平, ,肇庆综合,MPEG-2,DRA,开锁,5009,5010,德庆 香山, ,jijxiang 2022-10-30,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
