index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , ,云南卫视,AVS+,DRA,开锁,512,650,威信, ,谭俊 2024-02-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,482, , ,云南都市,AVS+,DRA,开锁,513,660,威信, ,谭俊 2024-02-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,482, , ,云南娱乐,AVS+,DRA,开锁,514,670,威信, ,谭俊 2024-02-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,482, , ,云南公共,AVS+,DRA,开锁,515,680,威信, ,谭俊 2024-02-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482, , ,昭通一套,AVS+,DRA,开锁,516,690,威信, ,谭俊 2024-02-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,482, , ,昭通三套,AVS+,DRA,开锁,517,700,威信, ,谭俊 2024-02-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,482, , ,威信综合,AVS+,DRA,开锁,524,720,威信, ,谭俊 2024-02-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,506, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,绥江县, ,HKHL2017 2020-03-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,506, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,绥江县, ,HKHL2017 2020-03-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,506, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,绥江县, ,HKHL2017 2020-03-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,506, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,绥江县, ,HKHL2017 2020-03-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,506, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,绥江县, ,HKHL2017 2020-03-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,506, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,绥江县, ,HKHL2017 2020-03-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
