index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,中央电视台综合频道,MPEG-4,MPEG-2, , , ,新密, ,qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,474, , ,中央电视台财经频道,MPEG-4,MPEG-2, , , ,新密, ,qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,474, , ,中央电视台综艺频道,MPEG-4,MPEG-2, , , ,新密, ,qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,474, , ,中央电视台中文国际频道,MPEG-4,MPEG-2, , , ,新密, ,qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,474, , ,中央电视台体育频道,MPEG-4,MPEG-2, , , ,新密, ,qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,474, , ,中央电视台电影频道,MPEG-4,MPEG-2, , , ,新密, ,qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,474, , ,中央电视台国防军事频道,MPEG-4,MPEG-2, , , ,新密, ,qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,474, , ,中央电视台电视剧频道,MPEG-4,MPEG-2, , , ,新密, ,qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,474, , ,中央电视台科教频道,MPEG-4,MPEG-2, , , ,新密, ,qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,474, , ,中央电视台戏曲频道,MPEG-4,MPEG-2, , , ,新密, ,qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,474, , ,中央电视台社会与法频道,MPEG-4,MPEG-2, , , ,新密, ,qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,474, , ,金鹰卡通,MPEG-4,MPEG-2, ,771,772,新密, ,qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,498, , ,河南卫视,MPEG-4,MPEG-2, , , ,新密,16QAM PN595 4/5(0.8),qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,498, , ,河南公共,MPEG-4,MPEG-2, , , ,新密,16QAM PN595 4/5(0.8),qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,498, , ,河南新农村,MPEG-4,MPEG-2, , , ,新密,16QAM PN595 4/5(0.8),qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,498, , ,新密新闻,MPEG-4,MPEG-2, ,267,268,新密,16QAM PN595 4/5(0.8),qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,498, , ,新密文旅,MPEG-4,MPEG-2, , , ,新密,16QAM PN595 4/5(0.8),qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,498, , ,新密影视戏曲（郑州六套）,MPEG-4,MPEG-2, ,259,260,新密,16QAM PN595 4/5(0.8),qianying818 2022-11-26,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,498, , ,新密时政,MPEG-4,MPEG-2, , , ,新密,16QAM PN595 4/5(0.8),qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,498, , ,新密文体,MPEG-4,MPEG-2, , , ,新密,16QAM PN595 4/5(0.8),qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,498, , ,商都频道,MPEG-4,MPEG-2, , , ,新密,16QAM PN595 4/5(0.8),qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,498, , ,兵团卫视,MPEG-4,MPEG-2, , , ,新密,16QAM PN595 4/5(0.8),qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,498, , ,湖南卫视,MPEG-4,MPEG-2, , , ,新密,16QAM PN595 4/5(0.8),qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,498, , ,福建东南卫视,MPEG-4,MPEG-2, , , ,新密,16QAM PN595 4/5(0.8),qianying818 2022-11-26,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,498, , ,黑龙江卫视,MPEG-4,MPEG-1,Cryptoworks,54,55,新郑,16QAM PN420 4/5(0.8),qianying818 2023-06-14,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,498, , ,深圳卫视,MPEG-4,MPEG-1,Cryptoworks,260,259,新郑,16QAM PN420 4/5(0.8),qianying818 2023-06-14,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,498, , ,安徽卫视,MPEG-4,MPEG-1,Cryptoworks,1033,1027,新郑,16QAM PN420 4/5(0.8),qianying818 2023-06-14,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,498, , ,风云剧场,MPEG-4,MPEG-1,Cryptoworks,520,730,新郑,16QAM PN420 4/5(0.8),qianying818 2023-06-14,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
