index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,554, ,301,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,554, ,302,中央电视台财经频道,AVS+,DRA,开锁,513,660,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,554, ,303,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,554, ,304,中央电视台科教频道,AVS+,DRA,开锁,515,680,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,554, ,305,[中央电视台社会与法频道](http://www.thmz.com/),AVS+,DRA,开锁,516,690,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,554, ,306,中央电视台新闻频道,AVS+,DRA,开锁,517,700,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,554, ,307,中央电视台少儿频道,AVS+,DRA,开锁,518,710,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,554, ,308,中央电视台音乐频道,AVS+,DRA,开锁,519,720,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,554, ,101,中国之声, ,MPEG-1,开锁, ,730,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,554, ,102,经济之声, ,MPEG-1,开锁, ,740,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,554, ,103,音乐之声, ,MPEG-1,开锁, ,750,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,554, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,554, ,105,台海之声, ,MPEG-1,开锁, ,770,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,554, ,106,神州之声, ,MPEG-1,开锁, ,780,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,554, ,108,民族之声, ,MPEG-1,开锁, ,790,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,554, ,109,文艺之声, ,MPEG-1,开锁, ,800,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,554, ,110,老年之声, ,MPEG-1,开锁, ,810,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,554, ,112,阅读之声, ,MPEG-1,开锁, ,820,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,554, ,115,中国交通广播, ,MPEG-1,开锁, ,830,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,554, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,马山,16QAM PN945 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,594,水平,3,广东珠江,MPEG-2,MPEG-2,开锁,769,770 771珠江经济 772环球资讯,五桂山,16QAM PN945 4/5(0.8),jack 2023-10-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,594,水平,100,大湾区卫视,AVS+,DRA,开锁,101,102,五桂山,16QAM PN945 4/5(0.8),jack 2023-10-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,594,水平,200,广东卫视,AVS+,DRA,开锁,201,202,五桂山,16QAM PN945 4/5(0.8),jack 2023-10-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,594,水平,400,广东民生,AVS+,DRA,开锁,401,402,五桂山,16QAM PN945 4/5(0.8),jack 2023-10-11,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,626,垂直,1,广东体育,MPEG-2,DRA,开锁,5001,5002,五桂山,64QAM PN420 3/5(0.6),HKJY 2024-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,626,垂直,2,广东珠江,MPEG-2,DRA,开锁,5003,5004,五桂山,64QAM PN420 3/5(0.6),HKJY 2024-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,626,垂直,3,广东新闻,MPEG-2,DRA,开锁,5005,5006,五桂山,64QAM PN420 3/5(0.6),HKJY 2024-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,626,垂直,4,广东经济科教,MPEG-2,DRA,开锁,5007,5008,五桂山,64QAM PN420 3/5(0.6),HKJY 2024-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,626,垂直, ,中山综合,MPEG-2,DRA,开锁,5009,5010,五桂山,64QAM PN420 3/5(0.6),HKJY 2024-02-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,642, ,401,[中央电视台农业农村频道](http://www.thmz.com/),AVS+,DRA,开锁,512,650,马山,4QAM PN595 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,642, ,402,中央电视台纪录频道,AVS+,DRA,开锁,513,660,马山,4QAM PN595 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,642, ,403,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,马山,4QAM PN595 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,642, ,404,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,马山,4QAM PN595 4/5(0.8),Jack 2023-03-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
