index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,490, , ,海原电视台,AVS+,DRA,开锁, , ,海原县凤凰山转播台, ,南华山 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,490, , ,中卫综合,AVS+,DRA,开锁, , ,海原县凤凰山转播台, ,南华山 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,490, , ,宁夏公共,AVS+,DRA,开锁, , ,海原县凤凰山转播台, ,南华山 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,538, , ,宁夏文旅,AVS+,DRA,开锁, , ,海原县凤凰山转播台 市区, ,南华山 2023-06-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,538, , ,家有购物,AVS+,DRA,开锁, , ,海原县凤凰山转播台 市区, ,南华山 2023-06-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,538, , ,宁夏经济,AVS+,DRA,开锁, , ,海原县凤凰山转播台 市区, ,南华山 2023-06-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,538, , ,精彩宁夏,AVS+,DRA,开锁, , ,海原县凤凰山转播台 市区, ,南华山 2023-06-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,538, , ,宁夏教育,AVS+,DRA,开锁, , ,海原县凤凰山转播台 市区, ,南华山 2023-06-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,538, , ,宁夏少儿,AVS+,DRA,开锁, , ,海原县凤凰山转播台 市区, ,南华山 2023-06-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,546, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,海原县凤凰山转播台 市区, ,南华山 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,546, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,海原县凤凰山转播台 市区, ,南华山 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,546, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,海原县凤凰山转播台 市区, ,南华山 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,546, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,海原县凤凰山转播台 市区, ,南华山 2022-08-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
