index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,195,水平, ,中央电视台综合频道,AVS+,DRA,开锁,40,41,沈丘,16QAM PN945 3/5(0.6),飞红 2024-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,195,水平, ,沈丘新闻综合,AVS+,DRA,开锁,37,38,沈丘,16QAM PN945 3/5(0.6),飞红 2024-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,195,水平, ,河南卫视,MPEG-2,MPEG-1,开锁,33,34,沈丘,16QAM PN945 3/5(0.6),飞红 2024-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,195,水平, ,中央电视台农业农村频道,AVS+,DRA,开锁,43,44,沈丘,16QAM PN945 3/5(0.6),飞红 2024-02-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,482, , ,河南卫视高清频道, , ,开锁, , ,西华, ,不离不弃2019-09-18,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,482, , ,中央电视台电影频道, , ,开锁, , ,西华, ,不离不弃2019-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,482, , ,西华电视台, , ,开锁, , ,西华, ,不离不弃2019-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,482, , ,中央电视台农业农村频道, , ,开锁, , ,西华, ,不离不弃2019-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,482, , ,中央电视台纪录频道, , ,开锁, , ,西华, ,不离不弃2019-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,482, , ,中央电视台戏曲频道,AVS+,DRA,开锁, , ,西华, ,不离不弃2019-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,482, , ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,西华, ,不离不弃2019-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,482, , ,周口一台, , ,开锁, , ,西华, ,不离不弃2019-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,482, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,周口, ,dabao2 2017-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,482, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,周口, ,dabao2 2017-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,482, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,周口, ,dabao2 2017-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,482, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,周口, ,dabao2 2017-10-09,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,482, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,扶沟, ,qianying818 2022-08-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
17,482, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,扶沟, ,qianying818 2022-08-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,482, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,扶沟, ,qianying818 2022-08-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,482, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,扶沟, ,qianying818 2022-08-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,482, , ,河南卫视,AVS+,MPEG-1,开锁,769,770,扶沟, ,qianying818 2022-08-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,482, , ,周口新闻综合,AVS+,MPEG-1,开锁,772,772,扶沟, ,qianying818 2022-08-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,482, , ,扶沟电视台,AVS+,MPEG-1,开锁,1025,1026,扶沟, ,qianying818 2022-08-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,482, , ,中央电视台农业农村频道,AVS+,DRA,开锁,512,650,沈丘, ,徽视皖风2020-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,482, , ,中央电视台纪录频道,AVS+,DRA,开锁,513,660,沈丘, ,徽视皖风2020-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,482, , ,中央电视台戏曲频道,AVS+,DRA,开锁,514,670,沈丘, ,徽视皖风2020-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,482, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,沈丘, ,徽视皖风2020-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,482, , ,河南卫视,AVS+,DRA,开锁, , ,沈丘, ,徽视皖风2020-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,482, , ,沈丘综合,AVS+,DRA,开锁, , ,沈丘, ,徽视皖风2020-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,482, , ,沈丘经济,AVS+,DRA,开锁, , ,沈丘, ,徽视皖风2020-07-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,498, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+,DRA,开锁, , ,鹿邑, ,刘学文 2022-03-21,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
