index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,514, , ,[中央电视台综合频道](http://www.thmz.com/),AVS+, ,开锁,501,502, , ,chenxiaozhg 2016-02-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,514, , ,浙江公共,AVS+, ,开锁,301,302, , ,chenxiaozhg 2016-02-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,514, , ,舟山一台,AVS+, ,开锁,401,402, , ,chenxiaozhg 2016-02-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,514, , ,浙江影视,AVS+, ,开锁,101,102, , ,chenxiaozhg 2016-02-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,514, , ,中央电视台戏曲频道,AVS+, ,开锁,201,202, , ,chenxiaozhg 2016-02-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,514, , ,浙江卫视,AVS+, ,开锁,601,602, , ,chenxiaozhg 2016-02-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,522, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区 双桥蚂蝗山无线发射台 普陀区, ,zkying 2023-03-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,522, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区 双桥蚂蝗山无线发射台 普陀区, ,zkying 2023-03-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,522, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区 双桥蚂蝗山无线发射台 普陀区, ,zkying 2023-03-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,522, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区 双桥蚂蝗山无线发射台 普陀区, ,zkying 2023-03-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,522, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区 双桥蚂蝗山无线发射台 普陀区, ,zkying 2023-03-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,522, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,市区 双桥蚂蝗山无线发射台 普陀区, ,zkying 2023-03-05,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
