index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,522, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,市区, ,qianying818 2023-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,522, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,市区, ,qianying818 2023-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,522, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,市区, ,qianying818 2023-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,522, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,市区, ,qianying818 2023-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,522, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,市区, ,qianying818 2023-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,522, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,市区, ,qianying818 2023-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,522, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,市区, ,qianying818 2023-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,522, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,市区, ,qianying818 2023-09-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,522, ,101,中国之声, ,MPEG-1,开锁, ,730,市区, ,qianying818 2023-09-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,522, ,102,经济之声, ,MPEG-1,开锁, ,740,市区, ,qianying818 2023-09-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,522, ,103,音乐之声, ,MPEG-1,开锁, ,750,市区, ,qianying818 2023-09-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,522, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,市区, ,qianying818 2023-09-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,522, ,105,台海之声, ,MPEG-1,开锁, ,770,市区, ,qianying818 2023-09-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,522, ,106,神州之声, ,MPEG-1,开锁, ,780,市区, ,qianying818 2023-09-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,522, ,108,民族之声, ,MPEG-1,开锁, ,790,市区, ,qianying818 2023-09-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,522, ,109,文艺之声, ,MPEG-1,开锁, ,800,市区, ,qianying818 2023-09-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,522, ,110,老年之声, ,MPEG-1,开锁, ,810,市区, ,qianying818 2023-09-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,522, ,112,阅读之声, ,MPEG-1,开锁, ,820,市区, ,qianying818 2023-09-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,522, ,115,中国交通广播, ,MPEG-1,开锁, ,830,市区, ,qianying818 2023-09-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,522, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,市区, ,qianying818 2023-09-18,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,530, , ,河南卫视高清频道,AVS+,DRA, , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,530, , ,河南移动,AVS+,DRA, , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,530, , ,河南二套,AVS+,DRA, , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,530, , ,河南三套,AVS+,DRA, , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,530, , ,河南四套,AVS+,DRA, , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,530, , ,河南五套,AVS+,DRA, , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
26,530, , ,河南六套,AVS+,DRA, , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
27,530, , ,河南七套,AVS+,DRA, , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
28,530, , ,河南八套,AVS+,DRA, , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
29,530, , ,河南新闻广播, , , , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
30,530, , ,河南交通广播, , , , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
31,530, , ,河南音乐广播, , , , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
32,530, , ,河南影视广播, , , , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
33,530, , ,河南旅游广播, , , , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
34,530, , ,古典音乐台, , , , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
35,530, , ,星河音乐台, , , , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
36,530, , ,国乐悠扬台, , , , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
37,530, , ,警广之声, , , , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
38,530, , ,有声文摘台, , , , , ,市区, ,飞红2025 2021-07-16,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
39,554,水平,1101,中央电视台综合频道,AVS+,DRA,开锁,97,98,泌阳象河 泌阳春水 泌阳盘古 泌阳铜山 泌阳黄山,16QAM PN945 4/5(0.8),灯光依旧2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,554,水平,1105,中央电视台财经频道,AVS+,DRA,永新同方 （7002）,81,82,泌阳象河 泌阳春水 泌阳盘古 泌阳铜山 泌阳黄山,16QAM PN945 4/5(0.8),灯光依旧2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,554,水平, ,中央电视台综艺频道,AVS+,DRA,永新同方 （7002）, , ,泌阳象河 泌阳春水 泌阳盘古 泌阳铜山 泌阳黄山,16QAM PN945 4/5(0.8),灯光依旧2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,554,水平, ,中央电视台中文国际频道,AVS+,DRA,永新同方 （7002）, , ,泌阳象河 泌阳春水 泌阳盘古 泌阳铜山 泌阳黄山,16QAM PN945 4/5(0.8),灯光依旧2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,554,水平, ,中央电视台体育频道,AVS+,DRA,永新同方 （7002）, , ,泌阳象河 泌阳春水 泌阳盘古 泌阳铜山 泌阳黄山,16QAM PN945 4/5(0.8),灯光依旧2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,554,水平, ,中央电视台科教频道,AVS+,DRA,永新同方 （7002）, , ,泌阳象河 泌阳春水 泌阳盘古 泌阳铜山 泌阳黄山,16QAM PN945 4/5(0.8),灯光依旧2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
45,554,水平, ,中央电视台社会与法频道,AVS+,DRA,永新同方 （7002）, , ,泌阳象河 泌阳春水 泌阳盘古 泌阳铜山 泌阳黄山,16QAM PN945 4/5(0.8),灯光依旧2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
46,554,水平, ,中央电视台新闻频道,AVS+,DRA,永新同方 （7002）, , ,泌阳象河 泌阳春水 泌阳盘古 泌阳铜山 泌阳黄山,16QAM PN945 4/5(0.8),灯光依旧2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
47,554,水平, ,中央电视台少儿频道,AVS+,DRA,永新同方 （7002）, , ,泌阳象河 泌阳春水 泌阳盘古 泌阳铜山 泌阳黄山,16QAM PN945 4/5(0.8),灯光依旧2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
48,554,水平, ,中央电视台音乐频道,AVS+,DRA,永新同方 （7002）, , ,泌阳象河 泌阳春水 泌阳盘古 泌阳铜山 泌阳黄山,16QAM PN945 4/5(0.8),灯光依旧2023-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
49,562,水平, ,[中央电视台综合频道](http://www.cctv.com),MPEG-2,MPEG-2,开锁,3011,3012,驻马店, ,dg123 2018-06-18,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
