index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,514, , ,中央电视台农业农村频道,AVS+,DRA,开锁, , ,醴陵市电视转播台, ,柠檬我不萌2019-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,514, , ,中央电视台纪录频道,AVS+,DRA,开锁, , ,醴陵市电视转播台, ,柠檬我不萌2019-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,514, , ,中央电视台戏曲频道,AVS+,DRA,开锁, , ,醴陵市电视转播台, ,柠檬我不萌2019-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,514, , ,中国环球电视网新闻频道,AVS+,DRA,开锁, , ,醴陵市电视转播台, ,柠檬我不萌2019-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,514, , ,湖南卫视,AVS+,DRA,开锁, , ,醴陵市电视转播台, ,柠檬我不萌2019-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,514, , ,湖南经视,AVS+,DRA,开锁, , ,醴陵市电视转播台, ,柠檬我不萌2019-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,514, , ,湖南都市,AVS+,DRA,开锁, , ,醴陵市电视转播台, ,柠檬我不萌2019-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,514, , ,湖南电视剧,AVS+,DRA,开锁, , ,醴陵市电视转播台, ,柠檬我不萌2019-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,514, , ,湖南娱乐,AVS+,DRA,开锁, , ,醴陵市电视转播台, ,柠檬我不萌2019-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,514, , ,株洲新闻综合,AVS+,DRA,开锁, , ,醴陵市电视转播台, ,柠檬我不萌2019-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,514, , ,酸陵新闻,AVS+,DRA,开锁, , ,醴陵市电视转播台, ,柠檬我不萌2019-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,522, ,110,金鹰经视,AVS+,DRA,开锁,111,112,炎陵 茶陵云阳山,16QAM PN945 4/5(0.8),q1060896983 2024-02-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,522, , ,金鹰都市,AVS+,DRA,开锁,121,122,炎陵 茶陵云阳山,16QAM PN945 4/5(0.8),q1060896983 2024-02-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,522, , ,湖南电视剧,AVS+,DRA,开锁,141,142,炎陵 茶陵云阳山,16QAM PN945 4/5(0.8),q1060896983 2024-02-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,522, ,150,金鹰纪实,AVS+,DRA,开锁,151,152,炎陵 茶陵云阳山,16QAM PN945 4/5(0.8),q1060896983 2024-02-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,522, , ,金鹰卡通,AVS+,DRA,开锁,161,162,炎陵 茶陵云阳山,16QAM PN945 4/5(0.8),q1060896983 2024-02-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,522, , ,中国国家应急广播,MPEG-2,MPEG-1,开锁,888,999,炎陵 茶陵云阳山,16QAM PN945 4/5(0.8),q1060896983 2024-02-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,522, , ,中央电视台综合频道,AVS+,DRA,开锁,512,650,醴陵市电视转播台, ,柠檬我不萌i 2020-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
18,522, , ,中央电视台财经频道,AVS+,DRA,开锁,513,660,醴陵市电视转播台, ,柠檬我不萌i 2020-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
19,522, , ,中央电视台中文国际频道,AVS+,DRA,开锁,514,670,醴陵市电视转播台, ,柠檬我不萌i 2020-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
20,522, , ,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,515,680,醴陵市电视转播台, ,柠檬我不萌i 2020-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,522, , ,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,516,690,醴陵市电视转播台, ,柠檬我不萌i 2020-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,522, , ,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,517,700,醴陵市电视转播台, ,柠檬我不萌i 2020-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,522, , ,中央电视台少儿频道,AVS+,DRA,开锁,518,710,醴陵市电视转播台, ,柠檬我不萌i 2020-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
24,522, , ,中央电视台音乐频道,AVS+,DRA,开锁, , ,醴陵市电视转播台, ,柠檬我不萌i 2020-01-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
25,530, ,50,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,开锁,52,53,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,530, ,60,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,开锁,61,62,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,530, ,70,中央电视台少儿频道,AVS+,DRA,开锁,71,72,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,530, ,80,中央电视台音乐频道,AVS+,DRA,开锁,81,82,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,530, ,90,中央电视台综合频道,AVS+,DRA,开锁,91,92,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,530, ,100,中央电视台财经频道,AVS+,DRA,开锁,101,102,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,530, ,110,中央电视台中文国际频道,AVS+,DRA,开锁,111,111,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,530, ,120,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,开锁,121,122,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,530, , ,中国之声, ,MPEG-1,开锁, ,730,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,530, , ,经济之声, ,MPEG-1,开锁, ,740,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,530, , ,音乐之声, ,MPEG-1,开锁, ,750,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
36,530, , ,经典音乐广播, ,MPEG-1,开锁, ,760,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
37,530, , ,台海之声, ,MPEG-1,开锁, ,770,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
38,530, , ,神州之声, ,MPEG-1,开锁, ,780,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
39,530, , ,民族之声, ,MPEG-1,开锁, ,790,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
40,530, , ,文艺之声, ,MPEG-1,开锁, ,800,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
41,530, , ,老年之声, ,MPEG-1,开锁, ,810,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
42,530, , ,阅读之声, ,MPEG-1,开锁, ,820,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
43,530, , ,中国交通广播, ,MPEG-1,开锁, ,830,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
44,530, , ,中国乡村之声, ,MPEG-1,开锁, ,840,株洲神农塔 茶陵云阳山, ,天涯海角 2022-10-17,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
45,554, , ,河南卫视,AVS+,MPEG-1, , , ,株洲市声屏公司, ,413112784 2018-10-20,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
46,554, , ,四川卫视,AVS+,MPEG-1, , , ,株洲市声屏公司, ,413112784 2018-10-20,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
47,554, , ,中央电视台音乐频道,AVS+,MPEG-1, , , ,株洲市声屏公司, ,413112784 2018-10-20,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
48,554, , ,湖南娱乐,AVS+,MPEG-1, , , ,株洲市声屏公司, ,413112784 2018-10-20,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
49,554, , ,金鹰纪实,AVS+,MPEG-1, , , ,株洲市声屏公司, ,413112784 2018-10-20,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
50,554, , ,中央电视台戏曲频道,AVS+,MPEG-1, , , ,株洲市声屏公司, ,413112784 2018-10-20,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
51,554, , ,中华美食,AVS+,MPEG-1, , , ,株洲市声屏公司, ,413112784 2018-10-20,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
52,554, , ,湖北卫视,AVS+,MPEG-1, , , ,株洲市声屏公司, ,413112784 2018-10-20,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
53,554, , ,旅游卫视,AVS+,MPEG-1, , , ,株洲市声屏公司, ,413112784 2018-10-20,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
54,554, , ,【预备频道】,AVS+,MPEG-1, , , ,株洲市声屏公司, ,413112784 2018-10-20,"<span style=""background-color:#666666"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
