index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,482, , ,中央电视台中文国际频道, , ,开锁, , ,桓台, ,愤言人 2016-02-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
1,482, , ,中央电视台科教频道, , ,开锁, , ,桓台, ,愤言人 2016-02-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
2,482, , ,中央电视台少儿频道, , ,开锁, , ,桓台, ,愤言人 2016-02-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
3,482, , ,中国环球电视网新闻频道, , ,开锁, , ,桓台, ,愤言人 2016-02-08,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
4,490, , ,中央电视台 农业农村频道,AVS+,DRA,开锁,512,650,恒台县, ,小半半 2021-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
5,490, , ,中央电视台 纪录频道,AVS+,DRA,开锁,513,660,恒台县, ,小半半 2021-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
6,490, , ,中央电视台 戏曲频道,AVS+,DRA,开锁,514,670,恒台县, ,小半半 2021-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
7,490, , ,中国环球电视网新闻频道,AVS+,DRA,开锁,515,680,恒台县, ,小半半 2021-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
8,490, , ,山东卫视,AVS+,DRA,开锁,4113,4114,恒台县, ,小半半 2021-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
9,490, , ,山东齐鲁,AVS+,DRA,开锁,4129,4130,恒台县, ,小半半 2021-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
10,490, , ,淄博一套,AVS+,DRA,开锁,7953,7954,恒台县, ,小半半 2021-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
11,490, , ,恒台一套,AVS+,DRA,开锁,8017,8018,恒台县, ,小半半 2021-12-23,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
12,490, , ,山东体育广播, ,MPEG-1,开锁, ,2689,恒台县, ,小半半 2021-12-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
13,490, , ,山东音乐广播, ,MPEG-1,开锁, ,2673,恒台县, ,小半半 2021-12-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
14,490, , ,山东乡村广播, ,MPEG-1,开锁, ,2657,恒台县, ,小半半 2021-12-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
15,490, , ,山东交通广播, ,MPEG-1,开锁, ,2641,恒台县, ,小半半 2021-12-23,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
16,498, , ,高青综合, , ,开锁, , ,高青, ,预览满天星2022-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,498, , ,高清影视, , ,开锁, , ,高青, ,预览满天星2022-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,498, , ,中央电视台综合频道, , ,开锁, , ,高青, ,预览满天星2022-10-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,498, , ,山东卫视高清频道, , ,开锁, , ,高青, ,预览满天星2022-10-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,538, , ,中央电视台中文国际频道, , ,开锁, , ,张店区, ,yayi1982 2016-04-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
21,538, , ,中央电视台科教频道, , ,开锁, , ,张店区, ,yayi1982 2016-04-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
22,538, , ,中央电视台少儿频道, , ,开锁, , ,张店区, ,yayi1982 2016-04-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
23,538, , ,中国环球电视网新闻频道, , ,开锁, , ,张店区, ,yayi1982 2016-04-28,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#666666"">&#12288;&#12288;</span>"
