index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,474, , ,四川卫视,AVS+,MPEG-1,开锁,160,170,省广播电视局507台,16QAM PN420 4/5(0.8),ljp114237712 2023-06-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,474, , ,自贡新闻综合,AVS+,MPEG-1,开锁,260,270,省广播电视局507台,16QAM PN420 4/5(0.8),ljp114237712 2023-06-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,474, , ,自贡文化生活,AVS+,MPEG-1,开锁,360,370,省广播电视局507台,16QAM PN420 4/5(0.8),ljp114237712 2023-06-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,522, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,省广播电视局507台,16QAM PN945 4/5(0.8),Chinkin 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,522, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,省广播电视局507台,16QAM PN945 4/5(0.8),Chinkin 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,522, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,省广播电视局507台,16QAM PN945 4/5(0.8),Chinkin 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,522, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,省广播电视局507台,16QAM PN945 4/5(0.8),Chinkin 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,522, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,省广播电视局507台,16QAM PN945 4/5(0.8),Chinkin 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,522, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,省广播电视局507台,16QAM PN945 4/5(0.8),Chinkin 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,522, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,省广播电视局507台,16QAM PN945 4/5(0.8),Chinkin 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,522, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,省广播电视局507台,16QAM PN945 4/5(0.8),Chinkin 2024-02-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,522, ,101,中国之声, ,MPEG-1,开锁, ,730,省广播电视局507台,16QAM PN945 4/5(0.8),Chinkin 2024-02-10,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
