index,频率,极化,SID,频道名称,视频编码,音频编码,锁码方式,V-PID,A-PID,发射基站,高阶参数,来源,颜色,来源颜色
0,498, , ,四川卫视,AVS+,DRA,开锁, , ,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#339966"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
1,522, ,301,中央电视台综合频道,AVS+,DRA,NDS,512,650,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
2,522, ,302,中央电视台财经频道,AVS+,DRA,NDS,513,660,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
3,522, ,303,中央电视台中文国际频道,AVS+,DRA,NDS,514,670,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
4,522, ,304,[中央电视台科教频道](http://www.cctv.com),AVS+,DRA,NDS,515,680,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
5,522, ,305,[中央电视台社会与法频道](http://www.cctv.com),AVS+,DRA,NDS,516,690,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
6,522, ,306,[中央电视台新闻频道](http://www.cctv.com),AVS+,DRA,NDS,517,700,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
7,522, ,307,中央电视台少儿频道,AVS+,DRA,NDS,518,710,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
8,522, ,308,中央电视台音乐频道,AVS+,DRA,NDS,519,720,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
9,522, ,101,中国之声, ,MPEG-1,开锁, ,730,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
10,522, ,102,经济之声, ,MPEG-1,开锁, ,740,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
11,522, ,103,音乐之声, ,MPEG-1,开锁, ,750,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
12,522, ,104,经典音乐广播, ,MPEG-1,开锁, ,760,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
13,522, ,105,台海之声, ,MPEG-1,开锁, ,770,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
14,522, ,106,神州之声, ,MPEG-1,开锁, ,780,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
15,522, ,108,民族之声, ,MPEG-1,开锁, ,790,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
16,522, ,109,文艺之声, ,MPEG-1,开锁, ,800,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
17,522, ,110,老年之声, ,MPEG-1,开锁, ,810,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
18,522, ,112,阅读之声, ,MPEG-1,开锁, ,820,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
19,522, ,115,中国交通广播, ,MPEG-1,开锁, ,830,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
20,522, ,116,中国乡村之声, ,MPEG-1,开锁, ,840,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#9933FF"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
21,530, , ,四川卫视,AVS, , , , ,安岳, ,ZYAY 2022-09-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
22,530, , ,四川经济,AVS, , , , ,安岳, ,ZYAY 2022-09-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
23,530, , ,四川文化旅游,AVS, , , , ,安岳, ,ZYAY 2022-09-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
24,530, , ,四川影视文艺,AVS, , , , ,安岳, ,ZYAY 2022-09-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
25,530, , ,四川乡村,AVS, , , , ,安岳, ,ZYAY 2022-09-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
26,530, , ,峨眉电影,AVS, , , , ,安岳, ,ZYAY 2022-09-17,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
27,530, , ,四川卫视,AVS+,DRA,开锁,4114,4115,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
28,530, , ,四川电视2台（经济）,AVS+,DRA,开锁,4130,4131,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
29,530, , ,四川文化旅游,AVS+,DRA,开锁,4146,4147,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
30,530, , ,四川新闻,AVS+,DRA,开锁,4162,4163,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
31,530, , ,四川影视文艺,AVS+,DRA,开锁,4178,4179,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
32,530, , ,四川星空购物,AVS+,DRA,开锁,4194,4195,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
33,530, , ,四川妇女儿童,AVS+,DRA,开锁,4210,4211,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
34,530, , ,四川乡村,AVS+,DRA,开锁,4226,4227,资阳 莲花山, ,司空曌 2023-06-01,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
35,626, , ,中央电视台综合道,AVS+,DRA,开锁, , ,安岳, ,元氏老宋 2023-12-10,"<span style=""background-color:#808000"">&#12288;&#12288;</span>","<span style=""background-color:#FF9933"">&#12288;&#12288;</span>"
